second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.46499999999999997,0.0,,66.27700000000002,18.958,2.1,-0.3,67.78800000000001,0.41100000000000003,-8.016,67.535,19.587,10.0
1,1.4700000000000002,0.0,,66.93499999999999,19.168,4.0,-2.0,70.57300000000001,-0.501,-9.51,65.129,20.169,10.0
2,2.463,0.0,,68.411,19.622000000000003,4.0,-2.0,70.891,-0.898,-10.114,64.128,20.375999999999998,10.0
3,3.5072727272727278,0.0,,69.90545454545456,20.184545454545454,4.0,-2.0,72.16818181818181,0.0809090909090909,-10.639090909090909,64.58181818181819,21.88,11.0
4,4.513333333333334,0.0,,71.24333333333334,20.98,4.0,-2.0,73.29444444444444,0.11333333333333338,-11.663333333333334,63.589999999999996,22.936666666666664,9.0
5,5.457,0.0,,72.252,21.831,4.0,-2.0,72.771,1.183,-10.620999999999999,65.702,22.964,10.0
6,6.51,0.0,,72.74818181818182,22.598181818181818,4.0,-2.0,72.83272727272727,2.424545454545455,-10.535454545454547,67.0290909090909,24.12,11.0
7,7.510000000000001,0.0,,73.06666666666666,23.43333333333333,4.0,-2.0,74.00555555555556,2.7577777777777777,-11.525555555555556,66.3722222222222,25.443333333333335,9.0
8,8.459999999999999,0.0,,73.392,24.261000000000003,4.0,-2.0,73.82000000000002,3.657,-10.449,68.34799999999998,25.266,10.0
9,9.515454545454546,0.0,,73.75545454545454,24.995454545454546,2.1818181818181817,-0.36363636363636365,74.38818181818182,3.9645454545454544,-10.742727272727272,68.36181818181818,25.86727272727273,11.0
10,10.516666666666666,0.0,,74.08333333333333,25.584444444444447,0.8888888888888888,1.1111111111111112,74.73888888888888,5.0311111111111115,-10.28111111111111,69.89,26.47222222222222,9.0
11,11.463,0.0,,74.296,26.008,0.0,2.0,74.448,5.373,-9.824,70.68900000000001,26.357,10.0
12,12.507272727272728,0.0,,74.45272727272727,26.24909090909091,0.0,2.0,74.32818181818183,5.615454545454546,-9.092727272727272,71.66272727272727,25.86818181818182,11.0
13,13.509999999999998,0.0,,74.55888888888889,26.263333333333335,0.0,2.0,74.52444444444444,4.942222222222222,-9.610000000000001,70.47222222222223,25.712222222222223,9.0
14,14.456999999999999,0.0,,74.535,26.063,0.0,1.0,74.25399999999999,4.921,-9.291,70.77000000000001,25.372,10.0
15,15.510000000000002,0.0,,74.31,25.63909090909091,0.0,1.0,73.41181818181816,4.907272727272727,-8.754545454545454,71.29272727272728,24.821818181818184,11.0
16,16.51,0.0,,73.93111111111111,25.156666666666666,0.0,1.0,72.60666666666667,4.447777777777778,-8.471111111111112,71.11666666666666,24.078888888888887,9.0
17,17.457,0.0,,73.467,24.659,0.5,0.5,73.075,3.9189999999999996,-8.611999999999998,70.447,23.691,10.0
18,18.50727272727273,0.0,,73.14181818181818,24.24090909090909,1.1818181818181819,-0.18181818181818182,73.14272727272727,3.602727272727273,-9.377272727272727,69.36545454545454,24.14,11.0
19,19.513333333333335,0.0,,72.91333333333334,23.98777777777778,1.5555555555555556,-0.5555555555555556,72.14111111111112,2.5477777777777777,-9.715555555555556,67.97222222222223,23.423333333333332,9.0
20,20.46,0.0,,72.626,23.719,2.0,-1.0,72.768,2.757,-9.615999999999998,68.28099999999999,23.532999999999998,10.0
21,21.50727272727273,0.0,,72.47909090909093,23.471818181818183,2.0,-1.0,71.56727272727274,3.2427272727272727,-8.368181818181819,70.01454545454546,22.770909090909093,11.0
22,22.51,0.0,,72.28222222222222,23.18444444444444,2.0,-1.0,71.58111111111111,3.054444444444444,-8.111111111111112,70.08333333333331,22.325555555555557,9.0
