second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.465,0.0,,65.061,11.089000000000002,2.0,0.0,66.38399999999999,2.4229999999999996,-0.438,70.825,13.660999999999998,10.0
1,1.4700000000000002,0.0,,65.38700000000001,11.799,0.0,2.0,65.537,0.06599999999999998,-1.0079999999999998,67.898,11.873999999999999,10.0
2,2.46,0.0,,65.72999999999999,12.278,0.0,2.0,66.526,-0.29999999999999993,-2.858,65.68199999999999,13.358,10.0
3,3.4769999999999994,0.0,,66.03299999999999,12.703,0.0,2.0,66.46000000000001,0.717,-2.082,67.475,13.598999999999998,10.0
4,4.464,0.0,,66.28699999999999,13.101000000000003,0.0,2.0,67.479,-0.18099999999999997,-3.6380000000000003,65.021,14.257,10.0
5,5.457000000000001,0.0,,66.78,13.644,0.0,2.0,67.34100000000001,-0.5549999999999999,-3.8950000000000005,64.39,14.14,10.0
6,6.501818181818181,0.0,,67.3290909090909,14.17090909090909,0.0,2.0,68.10818181818182,0.15181818181818182,-3.719090909090909,65.27272727272727,14.67090909090909,11.0
7,7.516666666666666,0.0,,67.75888888888889,14.533333333333335,0.0,2.0,68.41,0.1822222222222222,-4.081111111111111,64.9411111111111,15.063333333333333,9.0
8,8.456999999999999,0.0,,68.124,14.818000000000001,0.0,2.0,69.146,0.8140000000000001,-4.096,65.55799999999999,15.709999999999999,10.0
9,9.501818181818182,0.0,,68.55181818181819,15.203636363636361,0.0,2.0,68.91181818181819,0.7772727272727273,-4.221818181818183,65.39545454545454,15.799090909090909,11.0
10,10.513333333333332,0.0,,68.83888888888889,15.556666666666665,0.0,2.0,69.24666666666667,0.0522222222222222,-5.378888888888889,63.513333333333335,16.23111111111111,9.0
11,11.456999999999999,0.0,,69.045,15.913999999999998,0.0,2.0,68.656,0.8099999999999999,-4.956,64.694,16.565999999999995,10.0
12,12.501818181818182,0.0,,69.06181818181817,16.382727272727276,0.0,2.0,68.97000000000001,1.1209090909090909,-5.3927272727272735,64.56818181818181,17.313636363636366,11.0
13,13.513333333333332,0.0,,68.98111111111112,16.78888888888889,0.0,1.6666666666666667,69.20333333333332,1.2277777777777779,-5.384444444444444,64.68333333333334,17.41222222222222,9.0
14,14.463,0.0,,69.0,17.116,0.0,1.0,69.17,1.301,-5.4,64.74100000000001,17.500999999999998,10.0
15,15.501818181818182,0.0,,69.08909090909091,17.35909090909091,0.0,1.0,69.11363636363636,0.9409090909090909,-5.327272727272727,64.45363636363636,17.068181818181817,11.0
16,16.509999999999998,0.0,,69.14333333333333,17.406666666666666,0.0,1.0,69.13555555555556,0.9655555555555555,-5.274444444444445,64.5311111111111,17.04,9.0
17,17.457,0.0,,69.15299999999999,17.302,0.0,1.0,68.507,0.426,-5.555,63.711,16.781,10.0
18,18.501818181818184,0.0,,68.98818181818181,17.06090909090909,0.5454545454545454,0.45454545454545453,68.90090909090908,0.6245454545454546,-5.5209090909090905,63.943636363636365,16.94545454545455,11.0
19,19.513333333333335,0.0,,68.80333333333334,16.836666666666666,1.0,0.0,68.54444444444445,0.28555555555555556,-5.494444444444444,63.63111111111112,16.580000000000002,9.0
20,20.457,0.0,,68.604,16.608,1.0,0.0,67.75399999999999,-0.10500000000000005,-4.952000000000001,63.783,15.647000000000002,10.0
21,21.51,0.0,,68.22363636363637,16.184545454545454,1.1818181818181819,-0.18181818181818182,67.10818181818182,-0.31636363636363635,-4.532727272727272,63.99090909090909,15.016363636363634,11.0
22,22.509999999999998,0.0,,67.79,15.726666666666668,2.0,-1.0,67.35111111111112,-0.5122222222222222,-4.931111111111111,63.396666666666675,15.21888888888889,9.0
23,23.463,0.0,,67.424,15.397,2.0,-1.0,66.893,-0.7150000000000001,-5.025,63.1,15.110000000000003,10.0
24,24.504545454545454,0.0,,67.11636363636363,15.186363636363637,2.0,-1.0,67.00363636363636,-1.3236363636363635,-5.71909090909091,61.79727272727273,15.195454545454545,11.0
25,25.516666666666666,0.0,,66.95,15.057777777777776,2.0,-1.0,66.39666666666666,-1.8644444444444446,-5.593333333333334,61.382222222222225,14.528888888888888,9.0
26,26.46,0.0,,66.75699999999999,14.837,2.0,-1.0,66.213,-1.8350000000000002,-5.238,61.76700000000001,14.203,10.0
27,27.50181818181818,0.0,,66.37909090909092,14.45818181818182,2.0,-1.0,65.61909090909091,-2.082727272727273,-4.891818181818182,61.86545454545455,13.609090909090908,11.0
28,28.513333333333335,0.0,,65.98,14.026666666666666,2.0,-1.0,65.33777777777777,-2.7655555555555558,-5.363333333333333,60.71111111111112,13.397777777777778,9.0
29,29.457000000000004,0.0,,65.64099999999999,13.684000000000001,2.0,-1.0,65.10000000000001,-3.2619999999999996,-5.430999999999999,60.147000000000006,12.969,10.0
