Train.Red Export for,Threshold Test 03.01.2026
-------------------------------------------------------------
Measurement Date,2026-01-03T12:14:19.485024
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,30207
Measurement Duration,50:20
Distance,0 m
MSS Avg,64.00
TSI Min,35.97
TSI Max,72.25
TSI Avg,61.28

Muscle states
Rest,05:21
Easy,12:40
Medi,16:16
Hard,14:55
Load,01:07



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,039489C5-5657-20AA-4B7D-B1697B6C2382
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,72.26
Initial HBDiff,21.74
Initial o2Hb,43.70
Initial HHb,22.13
Tsi Var,18.0
Filter Id,6
MSS Avg,64
TSI Min,35.97
TSI Max,72.25
TSI Avg,61.28
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,72.26,21.73,0,2,70.05,-0.21,1.01,66.63,20.35
0.12,0,,72.24,21.72,0,2,69.15,-0.75,1.08,66.16,19.74
0.21,0,,72.21,21.70,0,2,69.32,-1.75,0.62,64.70,19.20
0.33,0,,72.17,21.67,0,2,68.17,-2.99,0.24,63.08,18.34
0.42,0,,72.11,21.62,0,2,67.89,-4.37,-0.09,61.37,17.29
0.51,0,,72.03,21.55,0,2,68.71,-4.41,-0.32,61.10,17.48
0.60,0,,71.94,21.47,0,2,70.09,-2.63,0.10,63.30,18.84
0.72,0,,71.85,21.38,0,2,70.21,-1.57,0.16,64.42,19.84
0.81,0,,71.75,21.29,0,2,70.16,-1.57,-0.24,64.02,20.24
0.90,0,,71.66,21.21,0,2,70.79,-1.55,-0.30,63.98,20.32
1.02,0,,71.58,21.12,0,2,70.90,-1.40,-0.35,64.08,20.52
1.11,0,,71.49,21.04,0,2,71.65,-1.01,-0.38,64.44,20.94
1.20,0,,71.42,20.97,0,2,71.11,-1.08,-0.52,64.23,21.01
1.32,0,,71.35,20.91,0,2,69.55,-1.77,-0.56,63.50,20.36
1.41,0,,71.28,20.85,0,2,69.17,-2.75,-0.64,62.44,19.46
1.50,0,,71.21,20.79,0,2,69.93,-3.50,-1.87,60.46,19.94
1.62,0,,71.13,20.73,0,2,71.10,-3.34,-2.99,59.50,21.22
1.71,0,,71.07,20.68,0,2,71.99,-2.32,-2.79,60.72,22.04
1.83,0,,71.01,20.64,0,2,71.55,-1.69,-2.22,61.92,22.10
1.92,0,,70.96,20.62,0,2,69.41,-2.60,-1.84,61.39,20.81
2.01,0,,70.91,20.59,0,2,68.23,-3.20,-0.79,61.84,19.16
2.10,0,,70.85,20.56,0,2,67.30,-2.25,1.21,64.79,18.11
2.22,0,,70.78,20.52,0,2,66.94,-1.65,1.99,66.17,17.93
