Train.Red Export for,Z2
-------------------------------------------------------------
Measurement Date,2026-01-03T13:12:01.887841
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,66387
Measurement Duration,1:50:38
Distance,0 m
MSS Avg,18.00
TSI Min,45.93
TSI Max,66.95
TSI Avg,59.46

Muscle states
Rest,20:21
Easy,1:12:29
Medi,14:29
Hard,00:07
Load,03:10



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,039489C5-5657-20AA-4B7D-B1697B6C2382
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,59.13
Initial HBDiff,17.06
Initial o2Hb,45.86
Initial HHb,28.37
Tsi Var,18.0
Filter Id,6
MSS Avg,18
TSI Min,45.93
TSI Max,66.95
TSI Avg,59.46
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,59.13,17.06,3,0,62.23,1.30,-2.22,73.31,21.01
0.12,0,,59.15,17.09,0,2,63.14,0.37,-3.84,70.76,21.70
0.21,0,,59.18,17.13,0,2,60.93,-0.11,-3.83,70.29,21.21
0.30,0,,59.23,17.20,0,2,61.69,0.14,-2.45,71.92,20.08
0.42,0,,59.29,17.27,0,2,62.14,0.65,-2.03,72.85,20.17
0.51,0,,59.35,17.36,0,2,61.81,1.14,-2.14,73.23,20.77
0.63,0,,59.43,17.45,0,2,62.33,1.52,-1.96,73.79,20.97
0.72,0,,59.51,17.56,0,2,63.06,2.81,-1.65,75.39,21.95
0.87,0,,59.60,17.68,0,2,62.98,3.90,-1.60,76.53,22.99
0.90,0,,59.70,17.82,0,2,60.65,1.86,-2.22,73.87,21.57
1.02,0,,59.81,17.96,0,2,63.64,-0.77,-3.74,69.72,20.46
1.11,0,,59.92,18.11,0,2,65.02,-0.94,-5.49,67.80,22.04
1.20,0,,60.05,18.27,0,2,64.19,-0.31,-5.61,68.31,22.79
1.35,0,,60.19,18.43,0,2,64.36,0.38,-4.61,70.00,22.48
1.41,0,,60.34,18.60,0,2,65.10,1.94,-4.29,71.88,23.72
1.50,0,,60.50,18.78,0,2,64.58,2.27,-4.39,72.11,24.15
1.62,0,,60.66,18.98,0,2,63.78,1.04,-4.91,70.36,23.44
1.71,0,,60.83,19.17,0,2,64.37,0.47,-5.06,69.64,23.02
1.80,0,,61.01,19.37,0,2,65.67,0.53,-4.68,70.08,22.70
1.92,0,,61.19,19.57,0,2,65.28,0.72,-4.66,70.29,22.87
2.01,0,,61.37,19.77,0,2,63.95,0.89,-4.53,70.59,22.91
2.10,0,,61.55,19.97,0,2,63.36,0.69,-4.30,70.62,22.48
2.22,0,,61.72,20.15,0,2,61.32,0.27,-3.84,70.66,21.60
