Train.Red Export for,Z2
-------------------------------------------------------------
Measurement Date,2026-01-05T12:01:08.508231
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,64708
Measurement Duration,1:47:50
Distance,0 m
MSS Avg,176.00
TSI Min,41.40
TSI Max,73.76
TSI Avg,57.94

Muscle states
Rest,06:14
Easy,14:51
Medi,49:35
Hard,34:16
Load,02:52



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,039489C5-5657-20AA-4B7D-B1697B6C2382
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,69.24
Initial HBDiff,16.79
Initial o2Hb,40.56
Initial HHb,23.92
Tsi Var,18.0
Filter Id,6
MSS Avg,176
TSI Min,41.40
TSI Max,73.76
TSI Avg,57.94
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,69.23,16.79,0,2,71.35,-1.47,-4.71,58.30,19.88
0.12,0,,69.24,16.81,0,2,70.26,-2.00,-4.45,58.03,19.09
0.21,0,,69.26,16.84,0,2,69.45,-2.02,-3.44,59.02,18.06
0.30,0,,69.28,16.87,0,2,69.83,-1.62,-2.96,59.90,17.98
0.42,0,,69.29,16.91,0,2,68.74,-2.19,-2.96,59.33,17.41
0.51,0,,69.31,16.94,0,2,69.18,-2.59,-2.75,59.14,16.80
0.60,0,,69.32,16.97,0,2,68.88,-2.19,-2.43,59.86,16.88
0.75,0,,69.32,17.00,0,2,69.02,-1.97,-2.41,60.10,17.08
0.81,0,,69.33,17.02,0,2,69.17,-2.20,-2.86,59.42,17.30
0.90,0,,69.33,17.05,0,2,67.35,-2.81,-3.14,58.53,16.97
1.02,0,,69.32,17.07,0,2,68.82,-2.83,-2.99,58.66,16.80
1.11,0,,69.32,17.09,0,2,72.08,-1.55,-3.97,58.96,19.06
1.20,0,,69.32,17.12,0,2,72.98,-0.14,-5.62,58.72,22.12
1.35,0,,69.35,17.17,0,2,73.10,0.24,-5.81,58.91,22.69
1.41,0,,69.40,17.25,0,2,73.21,-0.03,-5.17,59.28,21.78
1.50,0,,69.46,17.35,0,2,71.88,-0.22,-4.59,59.67,21.01
1.62,0,,69.53,17.45,0,2,71.97,-0.72,-3.37,60.39,19.29
1.71,0,,69.60,17.56,0,2,70.40,-1.29,-2.84,60.35,18.19
1.89,0,,69.68,17.66,0,2,70.64,-1.50,-3.66,59.32,18.80
1.92,0,,69.75,17.76,0,2,68.87,-1.90,-3.53,59.05,18.27
2.01,0,,69.81,17.84,0,2,67.18,-2.56,-2.63,59.29,16.71
2.10,0,,69.85,17.92,0,2,68.15,-2.73,-2.21,59.54,16.12
2.22,0,,69.87,17.97,0,2,69.21,-2.13,-2.36,59.99,16.87
