Train.Red Export for,Treadmill: Threshold 6x1km
-------------------------------------------------------------
Measurement Date,2026-01-06T12:15:35.484067
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,38629
Measurement Duration,1:04:22
Distance,4,06 km
MSS Avg,183.00
TSI Min,21.00
TSI Max,71.93
TSI Avg,46.94

Muscle states
Rest,05:51
Easy,08:35
Medi,10:16
Hard,35:33
Load,04:06



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,EC974478-3C76-C2B3-D974-C933C5ADD6B5
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,61.75
Initial HBDiff,10.44
Initial o2Hb,41.10
Initial HHb,30.52
Tsi Var,18.0
Filter Id,6
MSS Avg,183
TSI Min,21.00
TSI Max,71.93
TSI Avg,46.94
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,61.74,10.43,0,2,61.42,-0.05,0.54,72.11,9.99
0.15,0,,61.74,10.43,0,2,60.66,-0.16,0.65,72.11,9.77
0.24,0,,61.73,10.43,0,2,61.86,-0.22,0.66,72.06,9.70
0.33,0,,61.73,10.42,4,-2,61.37,-0.02,0.60,72.20,9.96
0.48,0,,61.72,10.40,4,-2,61.63,-0.08,0.68,72.22,9.82
0.54,0,,61.71,10.39,4,-2,61.21,-0.12,0.68,72.18,9.78
0.63,0,,61.70,10.38,0,2,61.32,-0.07,0.72,72.27,9.79
0.75,0,,61.69,10.36,0,2,61.67,-0.05,0.75,72.32,9.78
0.81,0,,61.68,10.34,0,2,61.15,-0.09,0.74,72.27,9.75
0.93,0,,61.67,10.32,0,2,61.73,-0.10,0.78,72.30,9.70
1.02,0,,61.66,10.30,0,2,61.36,-0.11,0.84,72.35,9.63
1.17,0,,61.65,10.27,0,2,61.18,-0.12,0.87,72.37,9.59
1.23,0,,61.63,10.25,0,2,61.09,-0.07,0.83,72.38,9.68
1.35,0,,61.62,10.22,0,2,61.45,-0.08,0.81,72.35,9.69
