Train.Red Export for,Tempo LowCadence 3x10’
-------------------------------------------------------------
Measurement Date,2026-01-07T12:04:25.540410
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,55379
Measurement Duration,1:32:17
Distance,0 m
MSS Avg,71.00
TSI Min,47.39
TSI Max,71.80
TSI Avg,58.34

Muscle states
Rest,09:25
Easy,47:06
Medi,32:56
Hard,00:23
Load,02:26



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,039489C5-5657-20AA-4B7D-B1697B6C2382
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,64.08
Initial HBDiff,12.94
Initial o2Hb,36.86
Initial HHb,23.91
Tsi Var,18.0
Filter Id,6
MSS Avg,71
TSI Min,47.39
TSI Max,71.80
TSI Avg,58.34
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,64.07,12.93,0,2,61.21,-0.56,0.09,60.30,12.30
0.09,0,,64.05,12.93,0,2,61.31,-1.51,-0.28,58.98,11.72
0.18,0,,64.02,12.92,0,2,61.05,-1.90,0.01,58.88,11.04
0.27,0,,63.98,12.89,0,2,60.33,-2.24,0.39,58.92,10.32
0.39,0,,63.92,12.86,0,2,62.38,-2.26,0.45,58.96,10.24
0.51,0,,63.85,12.82,0,2,61.59,-0.64,0.56,60.69,11.75
0.57,0,,63.79,12.77,0,2,63.31,-0.37,0.26,60.66,12.32
0.69,0,,63.72,12.73,0,2,63.23,-1.00,-0.40,59.37,12.35
0.78,0,,63.66,12.69,0,2,63.53,-0.46,-0.49,59.82,12.98
0.87,0,,63.60,12.65,0,2,63.91,-0.69,-0.60,59.48,12.86
1.02,0,,63.56,12.62,0,2,65.03,-0.74,-1.17,58.86,13.38
1.08,0,,63.52,12.60,0,2,61.90,-0.93,-1.12,58.72,13.14
1.17,0,,63.48,12.58,0,2,62.48,-2.41,-0.90,57.46,11.44
1.29,0,,63.44,12.56,0,2,63.46,-2.78,-1.96,56.03,12.13
1.38,0,,63.40,12.53,0,2,64.05,-2.70,-3.24,54.83,13.49
1.50,0,,63.37,12.52,0,2,63.17,-2.38,-3.29,55.10,13.86
1.59,0,,63.34,12.52,0,2,62.13,-1.17,-2.85,56.75,14.63
1.68,0,,63.31,12.52,0,2,61.21,-1.37,-2.05,57.35,13.63
1.77,0,,63.26,12.53,0,2,60.01,-1.73,-0.30,58.74,11.52
1.89,0,,63.21,12.54,0,2,59.72,-1.54,1.20,60.43,10.21
2.04,0,,63.14,12.53,0,2,58.74,-1.73,1.56,60.60,9.66
2.07,0,,63.05,12.50,0,2,59.11,-1.15,1.81,61.43,9.99
2.19,0,,62.95,12.47,0,2,61.11,-0.45,1.67,61.99,10.83
2.31,0,,62.85,12.43,0,2,63.16,-0.34,0.22,60.65,12.39
2.37,0,,62.76,12.39,0,2,63.63,-0.71,-1.12,58.94,13.36
2.52,0,,62.69,12.36,0,2,63.71,-0.69,-1.41,58.67,13.67
2.58,0,,62.62,12.35,0,2,62.32,-0.52,-1.27,58.98,13.70
2.67,0,,62.57,12.34,0,2,62.73,-1.44,-1.52,57.81,13.03
2.79,0,,62.52,12.33,0,2,62.19,-1.52,-2.41,56.84,13.84
2.88,0,,62.47,12.34,0,2,61.56,-1.22,-1.91,57.64,13.64
3.00,0,,62.42,12.35,0,2,61.15,-1.58,0.32,59.51,11.05
3.09,0,,62.37,12.35,0,2,59.69,-0.78,1.28,61.27,10.89
3.18,0,,62.31,12.35,0,2,61.05,-0.12,1.12,61.77,11.71
3.27,0,,62.26,12.34,0,2,63.41,0.09,0.75,61.61,12.29
3.39,0,,62.21,12.34,0,2,64.38,0.58,-0.52,60.83,14.05
3.51,0,,62.18,12.34,0,2,65.09,0.88,-1.22,60.43,15.05
3.57,0,,62.17,12.36,0,2,65.58,1.56,-1.07,61.26,15.58
3.69,0,,62.18,12.39,0,2,63.04,1.38,-0.65,61.50,14.98
3.78,0,,62.19,12.44,0,2,63.30,0.52,0.05,61.34,13.42
3.87,0,,62.21,12.49,0,2,61.85,0.31,0.44,61.52,12.82
4.02,0,,62.23,12.53,0,2,61.13,0.09,0.44,61.30,12.60
4.08,0,,62.24,12.57,0,2,62.78,0.17,0.36,61.30,12.76
4.17,0,,62.25,12.61,0,2,64.93,1.12,-0.00,61.89,14.07
4.29,0,,62.27,12.65,0,2,65.29,1.57,-1.16,61.18,15.68
4.38,0,,62.31,12.71,0,2,64.12,0.99,-1.84,59.92,15.78
4.50,0,,62.36,12.77,0,2,63.62,0.17,-1.31,59.63,14.43
4.59,0,,62.41,12.84,0,2,65.04,0.03,-0.91,59.89,13.89
4.68,0,,62.46,12.91,0,2,63.92,0.59,-0.10,61.26,13.64
4.77,0,,62.52,12.97,0,2,61.04,0.49,0.63,61.89,12.81
4.89,0,,62.57,13.03,0,2,62.37,0.32,0.33,61.42,12.94
5.01,0,,62.61,13.09,0,2,63.66,1.23,-0.08,61.92,14.26
5.07,0,,62.66,13.14,0,2,66.01,2.04,-1.18,61.63,16.17
5.19,0,,62.71,13.21,0,2,66.39,2.29,-2.30,60.76,17.54
5.28,0,,62.78,13.29,0,2,65.80,2.60,-1.87,61.50,17.42
5.37,0,,62.87,13.38,0,2,65.79,2.17,-0.53,62.41,15.65
5.52,0,,62.96,13.48,0,2,64.89,1.50,-0.44,61.83,14.89
5.58,0,,63.05,13.58,0,2,63.01,1.19,-0.56,61.40,14.70
5.67,0,,63.13,13.68,0,2,63.28,0.65,0.08,61.50,13.52
5.79,0,,63.21,13.76,4,-2,63.87,1.13,-0.29,61.61,14.37
5.91,0,,63.28,13.84,4,-2,66.30,2.42,-1.37,61.82,16.74
6.00,0,,63.36,13.93,4,-2,67.23,2.75,-2.09,61.43,17.79
6.09,0,,63.46,14.03,4,-2,68.24,3.36,-1.89,62.24,18.20
6.18,0,,63.57,14.15,4,-2,66.19,3.97,-1.03,63.71,17.95
6.27,0,,63.68,14.27,4,-2,65.95,2.82,-0.72,62.87,16.49
6.39,0,,63.80,14.39,4,-2,64.26,1.70,-0.70,61.77,15.35
6.54,0,,63.91,14.51,4,-2,64.03,1.22,-0.55,61.44,14.72
6.57,0,,64.01,14.61,4,-2,64.96,1.05,-0.55,61.27,14.55
6.69,0,,64.10,14.71,4,-2,67.03,2.21,-1.26,61.72,16.42
6.78,0,,64.20,14.81,4,-2,67.83,3.32,-2.57,61.52,18.84
6.87,0,,64.31,14.92,4,-2,68.60,3.73,-2.64,61.86,19.32
7.02,0,,64.43,15.04,4,-2,66.95,4.79,-1.32,64.24,19.06
7.08,0,,64.56,15.17,4,-2,66.37,4.28,-0.92,64.13,18.15
7.17,0,,64.68,15.30,4,-2,65.90,2.52,-1.26,62.03,16.73
7.29,0,,64.80,15.43,4,-2,64.87,2.02,-0.88,61.91,15.85
7.38,0,,64.90,15.55,4,-2,66.22,1.77,-1.38,61.16,16.10
7.50,0,,65.01,15.66,4,-2,67.34,2.06,-3.20,59.63,18.21
7.59,0,,65.11,15.78,4,-2,68.46,3.43,-4.26,59.94,20.64
7.68,0,,65.23,15.91,4,-2,67.45,4.67,-3.67,61.77,21.29
7.77,0,,65.34,16.06,4,-2,67.83,5.35,-2.29,63.83,20.59
7.89,0,,65.46,16.21,4,-2,67.05,5.36,-1.69,64.44,20.00
8.01,0,,65.57,16.37,4,-2,65.91,3.95,-1.90,62.82,18.80
8.07,0,,65.67,16.53,4,-2,64.34,2.49,-1.61,61.65,17.05
8.19,0,,65.76,16.68,4,-2,65.25,2.54,-1.21,62.10,16.70
8.28,0,,65.83,16.81,4,-2,66.69,3.24,-1.91,62.10,18.10
8.37,0,,65.91,16.94,4,-2,68.38,4.37,-3.43,61.71,20.75
8.52,0,,65.98,17.08,4,-2,69.16,5.41,-3.86,62.32,22.22
8.64,0,,66.07,17.23,4,-2,68.54,6.51,-2.36,64.92,21.82
8.67,0,,66.16,17.39,4,-2,67.99,6.70,-1.51,65.96,21.16
8.79,0,,66.25,17.55,4,-2,66.25,4.06,-1.89,62.94,18.90
8.88,0,,66.34,17.70,4,-2,63.96,2.33,-1.61,61.49,16.89
9.00,0,,66.40,17.84,4,-2,65.12,2.67,-1.48,61.96,17.10
9.09,0,,66.45,17.96,4,-2,67.10,3.48,-1.97,62.28,18.40
9.18,0,,66.50,18.07,4,-2,67.83,4.67,-2.55,62.89,20.17
9.27,0,,66.55,18.18,4,-2,69.43,5.84,-2.98,63.63,21.77
9.39,0,,66.61,18.30,4,-2,68.91,7.40,-2.54,65.63,22.89
9.54,0,,66.67,18.43,4,-2,68.13,7.34,-1.86,66.25,22.15
9.57,0,,66.74,18.56,4,-2,68.63,4.89,-2.21,63.45,20.05
9.75,0,,66.81,18.70,4,-2,66.11,3.55,-2.56,61.76,19.06
9.78,0,,66.87,18.82,4,-2,65.98,3.16,-2.53,61.40,18.64
9.87,0,,66.93,18.93,0,2,67.72,3.22,-2.86,61.13,19.03
10.02,0,,66.98,19.03,0,2,69.37,4.46,-3.58,61.65,20.99
