Train.Red Export for,Treadmill: Easy Run + R
-------------------------------------------------------------
Measurement Date,2026-01-08T11:42:46.059194
Type,free
Sport,endurance
Focus,perform
Number of Sensors,1
Samples,24790
Measurement Duration,41:18
Distance,37 m
MSS Avg,0.00
TSI Min,46.20
TSI Max,69.36
TSI Avg,57.92

Muscle states
Rest,09:09
Easy,24:27
Medi,05:39
Hard,00:00
Load,02:02



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1442
Mac Address,EC974478-3C76-C2B3-D974-C933C5ADD6B5
Firmware Version,
Sensor Position,quadRFRight
Initial TSI,51.41
Initial HBDiff,-0.44
Initial o2Hb,39.53
Initial HHb,39.84
Tsi Var,18.0
Filter Id,6
MSS Avg,0
TSI Min,46.20
TSI Max,69.36
TSI Avg,57.92
,,,Train.Red FYER 1442,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,51.41,-0.43,3,0,52.04,-0.12,-0.04,79.21,-0.39
0.09,0,,51.41,-0.43,0,2,51.33,-0.04,-0.21,79.12,-0.14
0.18,0,,51.41,-0.43,0,2,51.35,-0.04,-0.18,79.15,-0.17
0.27,0,,51.42,-0.43,0,2,51.54,-0.04,-0.15,79.18,-0.20
0.42,0,,51.42,-0.42,0,2,52.37,0.01,-0.25,79.13,-0.05
0.51,0,,51.43,-0.42,0,2,52.21,0.02,-0.26,79.13,-0.03
0.60,0,,51.44,-0.41,0,2,51.74,0.03,-0.24,79.16,-0.04
0.69,0,,51.45,-0.40,0,2,51.54,0.03,-0.21,79.19,-0.07
0.78,0,,51.46,-0.39,0,2,52.60,0.02,-0.19,79.20,-0.10
0.87,0,,51.48,-0.38,0,2,52.06,0.02,-0.21,79.18,-0.08
0.99,0,,51.50,-0.37,0,2,52.53,0.01,-0.18,79.20,-0.12
1.11,0,,51.52,-0.36,0,2,52.34,0.01,-0.19,79.19,-0.11
1.20,0,,51.54,-0.35,0,2,51.82,0.03,-0.22,79.18,-0.06
1.29,0,,51.57,-0.33,0,2,52.29,0.04,-0.16,79.25,-0.11
1.38,0,,51.59,-0.32,0,2,51.76,0.07,-0.13,79.31,-0.11
1.50,0,,51.62,-0.31,0,2,51.82,0.06,-0.17,79.26,-0.08
1.59,0,,51.64,-0.30,0,2,52.00,0.04,-0.17,79.24,-0.10
1.68,0,,51.66,-0.28,0,2,51.96,0.06,-0.16,79.27,-0.09
1.80,0,,51.68,-0.27,0,2,51.61,0.07,-0.17,79.27,-0.07
1.89,0,,51.70,-0.26,0,2,52.13,0.10,-0.16,79.31,-0.05
2.01,0,,51.72,-0.25,0,2,51.41,0.09,-0.12,79.34,-0.10
2.10,0,,51.74,-0.24,0,2,52.86,0.11,-0.11,79.37,-0.09
2.19,0,,51.76,-0.22,0,2,51.66,0.14,-0.14,79.37,-0.03
2.28,0,,51.78,-0.21,0,2,52.07,0.08,-0.13,79.32,-0.10
2.62,0,,51.80,-0.20,0,2,52.27,0.10,-0.12,79.35,-0.09
2.62,0,,51.80,-0.20,0,2,52.27,0.10,-0.12,79.35,-0.09
2.62,0,,51.80,-0.20,0,2,52.27,0.10,-0.12,79.35,-0.09
2.67,0,,51.84,-0.17,0,2,51.47,0.06,-0.20,79.23,-0.05
2.79,0,,51.85,-0.16,0,2,52.46,0.09,-0.22,79.24,0.00
2.88,0,,51.86,-0.15,0,2,52.19,0.06,-0.24,79.19,-0.01
3.00,0,,51.87,-0.15,0,2,52.38,0.06,-0.25,79.18,0.00
3.09,0,,51.88,-0.14,0,2,51.67,0.08,-0.25,79.20,0.02
3.18,0,,51.89,-0.13,0,2,52.19,0.13,-0.25,79.25,0.07
3.27,0,,51.90,-0.12,0,2,51.55,0.12,-0.26,79.23,0.07
3.39,0,,51.91,-0.11,0,2,51.97,0.09,-0.20,79.26,-0.02
3.51,0,,51.92,-0.10,0,2,51.96,0.08,-0.15,79.30,-0.08
3.60,0,,51.93,-0.09,0,2,51.43,0.07,-0.19,79.25,-0.05
3.69,0,,51.93,-0.09,0,2,51.20,0.06,-0.17,79.26,-0.08
3.78,0,,51.93,-0.08,0,2,52.27,0.08,-0.14,79.31,-0.09
3.87,0,,51.93,-0.07,0,2,52.15,0.13,-0.17,79.33,-0.01
3.99,0,,51.93,-0.07,0,2,51.84,0.11,-0.15,79.33,-0.05
4.08,0,,51.94,-0.06,0,2,52.16,0.12,-0.13,79.36,-0.06
4.20,0,,51.94,-0.06,0,2,52.05,0.21,-0.16,79.42,0.06
4.26,0,,51.94,-0.05,0,2,52.26,0.26,-0.17,79.46,0.12
4.38,0,,51.95,-0.05,0,2,52.41,0.29,-0.13,79.53,0.11
4.50,0,,51.95,-0.04,0,2,52.63,0.29,-0.11,79.55,0.09
4.56,0,,51.96,-0.03,0,2,52.80,0.30,-0.10,79.57,0.09
4.74,0,,51.98,-0.03,0,2,52.15,0.34,-0.06,79.65,0.09
4.80,0,,51.99,-0.02,0,2,52.41,0.34,-0.05,79.66,0.08
4.86,0,,52.00,-0.02,0,2,51.68,0.32,-0.01,79.68,0.02
5.01,0,,52.01,-0.01,0,2,52.32,0.31,0.00,79.68,0.00
5.07,0,,52.03,0.00,0,2,52.20,0.33,-0.09,79.61,0.11
5.16,0,,52.04,0.00,0,2,52.18,0.27,-0.12,79.52,0.08
