TymeBreathRate,tidal_volume,TymeVentilation
16.09,262.0,52.99
16.27,260.9,52.85
16.46,259.8,52.71
16.65,258.8,52.56
17.01,256.7,52.28
17.32,254.9,52.04
17.44,254.2,51.95
17.56,253.5,51.86
17.68,252.8,51.77
17.8,252.2,51.68
17.92,251.5,51.58
18.1,250.5,51.45
18.28,249.4,51.31
18.47,248.3,51.16
18.7,247.0,50.99
19.0,245.3,50.76
19.28,243.7,50.54
19.47,242.6,50.4
19.65,241.6,50.25
19.84,240.5,50.11
20.04,239.3,49.95
20.25,238.2,49.8
20.46,237.0,49.64
20.7,235.4,49.42
20.98,233.5,49.17
21.27,231.6,48.92
21.58,229.8,48.67
21.75,228.5,48.5
21.82,227.5,48.37
21.9,226.6,48.24
21.98,225.6,48.11
22.0,224.3,47.93
22.0,222.7,47.71
22.04,220.9,47.48
22.16,218.9,47.21
22.25,217.4,47.01
22.32,216.4,46.87
22.39,215.4,46.74
22.46,214.4,46.6
22.52,213.2,46.44
22.57,211.9,46.27
22.63,210.7,46.1
22.7,209.9,46.27
22.78,209.1,46.48
22.86,208.4,46.69
22.98,205.8,46.57
23.1,203.5,46.43
23.11,204.3,46.56
23.12,205.0,46.69
23.13,205.8,46.82
23.14,206.5,46.95
23.14,206.7,47.07
23.15,206.8,47.2
23.15,206.8,47.33
23.13,207.4,47.61
23.09,208.7,48.11
23.04,209.9,48.61
22.95,211.4,48.9
22.84,212.9,49.07
22.73,214.4,49.23
22.6,212.2,48.96
22.48,209.9,48.69
22.43,206.9,48.21
22.48,202.9,47.48
22.52,198.8,46.76
22.79,192.8,45.28
23.0,190.0,44.5
23.07,192.1,44.88
23.13,194.1,45.27
23.2,196.2,45.65
23.27,198.1,46.01
23.41,198.1,46.15
23.55,198.0,46.28
23.69,198.5,46.47
23.85,199.7,46.76
24.01,200.9,47.05
24.16,203.2,47.42
24.28,206.9,47.9
24.38,210.1,48.3
24.41,210.9,48.28
24.45,212.3,48.49
24.51,216.1,49.56
24.52,216.2,49.7
24.54,216.3,49.85
24.55,216.4,49.99
24.57,217.0,50.17
24.59,219.2,50.48
24.61,221.4,50.8
24.61,221.3,50.81
24.58,219.5,50.59
24.56,217.7,50.37
24.54,215.8,50.18
24.55,213.8,50.09
24.57,211.8,50.01
24.6,213.5,50.76
24.65,215.5,51.6
24.66,216.5,51.92
24.67,216.8,51.99
24.67,217.2,52.06
24.67,217.6,52.13
24.67,218.5,52.28
24.66,219.4,52.43
24.6,220.8,52.61
24.5,222.6,52.81
24.41,224.5,53.01
24.15,225.3,52.76
23.87,225.8,52.44
23.73,224.5,52.13
23.58,223.1,51.81
23.44,221.8,51.5
23.27,220.9,51.4
23.08,220.8,51.7
22.96,221.6,51.92
22.94,223.4,52.03
22.91,225.1,52.14
22.93,226.2,52.14
22.99,226.5,52.0
23.05,226.8,51.87
23.12,227.1,51.74
23.22,227.9,51.89
23.33,228.8,52.06
23.44,229.8,52.24
23.56,231.1,52.44
23.67,232.2,52.57
23.7,229.6,51.41
23.73,227.1,50.3
23.67,226.5,50.31
23.62,225.9,50.32
23.56,225.4,50.33
23.48,225.6,50.76
23.4,226.2,51.38
23.32,228.1,51.76
23.24,230.8,52.01
23.16,232.8,52.23
23.07,234.0,52.38
22.99,235.2,52.54
22.9,236.4,52.69
22.8,236.6,52.71
22.67,234.5,52.43
22.53,232.4,52.16
22.45,232.2,51.97
22.39,232.5,51.8
22.33,232.8,51.64
22.34,232.4,51.56
22.36,231.9,51.49
22.37,231.5,51.41
22.37,230.9,51.29
22.37,229.8,51.09
22.36,228.7,50.88
22.39,227.6,50.77
22.48,226.6,50.87
22.56,225.6,50.97
22.65,224.6,51.08
22.77,224.1,51.22
22.91,224.1,51.42
23.05,224.2,51.61
23.12,223.9,51.45
23.17,223.5,51.24
23.23,223.2,51.03
23.28,222.9,50.82
23.28,222.1,50.73
23.27,221.3,50.67
23.25,220.4,50.62
23.23,219.7,50.57
23.2,222.0,50.58
23.17,224.4,50.6
22.99,224.8,50.4
22.79,225.1,50.18
22.65,225.4,49.88
22.51,225.6,49.58
22.49,223.6,49.14
22.54,220.3,48.63
22.82,219.7,48.67
23.1,219.4,48.76
23.27,220.5,49.18
23.44,221.5,49.6
23.61,222.6,50.01
23.78,223.6,50.43
24.07,223.0,50.01
24.35,222.3,49.58
24.64,221.7,49.17
25.01,221.0,49.12
25.37,220.3,49.08
25.51,219.2,48.95
25.57,218.0,48.8
25.62,216.8,48.65
25.68,215.6,48.5
25.58,212.8,48.29
25.45,209.5,48.06
25.22,208.9,48.19
24.94,209.2,48.46
24.52,211.2,49.12
24.24,211.5,49.03
24.0,211.4,48.78
23.83,211.2,48.67
23.77,211.0,48.75
23.72,210.7,48.84
23.66,210.4,48.92
23.64,210.2,49.0
23.66,210.1,49.07
23.68,210.0,49.15
23.71,210.1,49.24
23.78,210.5,49.4
23.85,210.9,49.55
23.92,211.3,49.7
23.99,211.7,49.85
24.22,211.5,49.79
24.47,211.2,49.71
24.71,210.9,49.63
24.96,210.9,49.64
25.21,211.0,49.69
25.46,211.1,49.75
25.71,211.5,49.84
25.92,213.1,50.02
26.06,215.0,50.09
26.08,217.2,49.96
26.0,216.8,49.67
25.81,214.0,49.22
25.62,212.3,48.85
25.43,210.7,48.47
25.24,209.0,48.1
24.92,208.8,48.21
24.58,208.7,48.37
24.49,205.8,48.4
24.44,204.0,48.53
24.61,206.2,49.0
24.81,207.8,49.24
25.01,209.0,49.4
25.22,210.3,49.55
25.36,210.0,49.32
25.48,209.5,49.03
25.61,209.1,48.75
25.73,208.6,48.46
25.92,209.5,48.38
26.15,211.1,48.4
26.16,210.9,48.39
26.11,210.1,48.37
26.06,209.3,48.35
26.01,208.6,48.33
25.83,208.5,48.15
25.65,208.4,47.97
25.44,207.5,47.82
25.16,204.7,47.79
24.88,202.0,47.8
24.49,201.3,48.11
24.15,201.2,48.4
23.88,202.3,48.66
23.63,203.1,48.89
23.54,202.6,48.73
23.46,202.0,48.57
23.41,201.7,48.53
23.39,201.8,48.58
23.37,201.9,48.64
23.34,202.0,48.69
23.33,201.3,48.37
23.32,200.4,47.98
23.32,199.5,47.58
23.37,198.0,47.38
23.44,196.4,47.22
23.51,194.8,47.06
23.61,194.8,47.41
23.72,195.3,47.86
23.86,198.4,49.16
24.0,202.6,50.84
24.03,203.6,50.81
24.05,204.6,50.76
24.07,205.5,50.7
23.99,203.9,50.28
23.9,202.2,49.86
23.8,201.6,49.58
23.69,201.3,49.35
23.69,201.2,49.46
23.7,201.1,49.61
23.71,200.9,49.75
23.82,199.7,49.65
24.05,197.1,49.25
24.28,195.4,49.0
24.5,195.0,49.0
24.72,194.6,49.0
24.94,194.2,49.0
25.3,193.5,48.83
25.76,192.6,48.52
26.26,192.1,48.27
26.85,192.4,48.16
27.27,192.5,48.07
27.53,192.6,48.0
27.79,192.6,47.93
28.04,192.7,47.87
28.31,194.3,47.9
28.53,195.0,47.86
28.5,191.2,47.38
28.42,188.3,47.17
28.28,186.5,47.25
28.15,185.4,47.34
28.06,184.8,47.39
28.07,185.4,47.35
28.09,186.2,47.29
28.11,187.2,47.23
28.13,188.2,47.17
28.15,189.3,47.11
28.18,189.4,47.02
28.21,189.5,46.92
28.25,189.6,46.82
28.28,188.2,46.5
28.31,186.5,46.1
