TymeBreathRate,tidal_volume,TymeVentilation
15.32,156.1,30.46
15.81,157.5,30.91
16.18,158.5,31.25
16.45,159.3,31.51
16.73,160.1,31.77
17.01,160.9,32.03
17.32,161.7,32.31
17.62,162.6,32.59
17.92,163.4,32.88
18.36,164.7,33.29
18.81,165.9,33.7
19.24,167.1,34.1
19.67,168.3,34.5
20.14,169.6,34.93
20.63,171.0,35.39
20.92,171.8,35.66
21.1,172.3,35.83
21.29,172.8,36.0
21.47,173.4,36.17
21.66,173.9,36.34
21.87,174.6,36.59
22.11,175.7,36.93
22.35,176.7,37.27
22.75,178.0,37.7
23.18,179.3,38.13
23.62,180.7,38.62
24.05,182.2,39.11
24.34,183.1,39.4
24.62,184.0,39.69
24.91,184.8,39.98
25.07,185.5,40.19
25.23,186.1,40.41
25.39,186.8,40.62
25.55,187.4,40.83
25.64,188.4,41.16
25.72,189.5,41.51
25.76,190.6,41.87
25.71,191.7,42.26
25.65,192.9,42.65
25.49,191.5,43.8
25.35,190.7,44.84
25.22,192.6,45.5
25.09,194.5,46.16
25.0,195.8,46.76
24.9,197.1,47.35
24.8,198.4,47.95
24.63,199.7,48.44
24.42,201.0,48.86
24.32,202.8,49.02
24.24,204.6,49.15
24.17,206.3,49.34
24.15,207.6,49.83
24.13,208.8,50.33
24.1,209.5,50.7
24.05,209.7,50.96
24.0,209.8,51.21
23.95,209.4,51.17
23.88,208.0,50.68
23.81,206.7,50.19
23.8,206.5,50.15
23.81,206.9,50.32
23.82,207.5,50.57
23.82,208.8,51.01
23.82,210.1,51.46
23.87,211.3,51.67
23.93,212.5,51.8
23.99,213.7,51.94
24.05,214.9,52.07
24.12,216.2,52.31
24.22,217.7,52.66
24.28,217.5,52.84
24.3,215.6,52.85
24.32,213.8,52.86
24.35,213.2,52.97
24.41,214.2,53.22
24.47,215.3,53.47
24.76,216.4,53.93
25.04,217.7,54.34
25.17,219.3,54.49
25.27,220.3,54.51
25.36,220.8,54.42
25.44,221.4,54.32
25.72,220.3,54.38
25.94,220.3,54.61
26.03,222.5,55.09
26.11,224.6,55.57
26.15,226.9,56.06
26.16,229.3,56.55
26.17,231.6,57.04
26.18,234.1,57.51
26.23,236.6,57.96
26.28,239.5,58.05
26.33,242.1,58.03
26.36,242.5,58.01
26.39,242.9,57.99
26.41,243.2,57.95
26.36,242.5,57.82
26.31,241.8,57.7
26.24,241.0,57.63
26.16,240.0,57.58
26.06,240.5,58.11
25.95,241.8,58.95
25.85,243.1,59.79
25.72,245.7,60.44
25.59,249.0,60.98
25.46,251.5,61.41
25.36,250.9,61.43
25.25,250.4,61.46
25.14,250.7,61.79
25.01,251.6,62.28
24.88,252.4,62.78
24.52,254.5,63.25
24.26,256.2,63.37
24.12,257.6,63.07
23.98,259.0,62.78
23.85,259.3,62.52
23.71,258.4,62.3
23.57,257.6,62.07
