TymeBreathRate,tidal_volume,TymeVentilation
30.93,99.27,27.93
30.83,100.8,28.39
30.74,102.3,28.85
30.61,104.4,29.47
30.49,106.4,30.07
30.4,108.0,30.53
30.31,109.5,30.98
30.16,111.9,31.72
30.02,114.2,32.39
29.92,115.8,32.87
29.83,117.3,33.33
29.76,118.5,33.67
29.69,119.6,34.01
29.62,120.7,34.35
29.5,122.7,34.95
29.22,124.9,35.6
27.97,127.2,36.3
27.61,128.7,36.74
28.0,129.5,36.99
28.4,130.4,37.23
28.79,131.2,37.47
29.18,132.0,37.71
28.84,134.2,38.38
28.65,136.5,39.06
28.79,138.8,39.77
28.69,140.4,40.25
28.51,141.8,40.66
28.33,143.2,41.08
28.13,144.7,41.53
27.94,146.2,41.98
27.7,148.1,42.55
27.43,150.2,43.19
27.34,153.9,44.18
27.27,157.6,45.22
27.25,160.9,46.2
27.26,163.7,47.12
27.37,165.5,47.28
27.53,166.9,47.17
27.69,168.4,47.07
27.9,169.9,47.09
28.11,171.4,47.1
28.32,172.9,47.12
28.65,177.4,47.57
29.07,184.5,48.43
29.25,185.7,48.61
29.42,186.9,48.78
29.6,188.0,48.96
29.95,189.4,49.33
30.58,191.0,50.02
31.12,197.3,51.1
31.44,202.5,51.66
31.64,207.0,51.86
31.7,211.5,52.43
31.7,216.4,53.21
31.49,222.3,54.63
31.3,223.9,54.91
31.17,225.4,55.34
31.1,227.0,55.9
31.03,228.7,56.46
30.95,230.3,57.02
30.89,232.7,57.49
30.82,235.1,57.97
30.76,237.5,58.44
30.68,238.8,58.59
30.57,237.5,58.02
30.45,236.4,57.51
30.3,236.7,57.35
30.15,236.9,57.2
29.79,239.3,57.2
29.38,242.2,57.23
29.07,243.9,57.27
28.77,245.6,57.31
28.47,247.2,57.35
28.17,248.4,57.51
27.87,249.3,57.78
27.58,250.2,58.04
27.29,251.1,58.3
26.95,251.9,58.59
26.59,252.6,58.89
26.23,253.3,59.2
25.88,254.0,59.5
25.44,254.6,59.66
24.99,255.2,59.8
24.53,256.5,59.98
24.03,259.2,60.3
23.6,261.8,60.61
23.38,263.4,60.95
23.15,265.1,61.29
22.93,266.7,61.63
22.76,268.8,61.89
22.63,271.2,62.13
22.49,273.5,62.36
22.35,275.8,62.63
22.2,278.2,62.96
22.06,280.6,63.29
21.92,283.6,63.82
21.79,287.6,64.7
21.67,291.6,65.54
21.53,295.4,65.69
21.39,299.1,65.82
21.32,297.9,64.88
21.27,296.8,64.19
21.26,295.9,64.43
21.25,295.0,64.67
21.24,294.2,64.92
21.24,295.9,65.15
21.25,298.2,65.38
21.3,299.2,65.33
21.37,299.3,65.09
21.44,299.3,64.86
21.5,299.8,64.81
21.56,300.7,64.98
21.61,301.7,65.15
21.67,302.7,65.31
21.66,303.1,65.39
21.65,303.5,65.46
21.64,303.9,65.53
21.63,304.3,65.6
21.64,304.0,65.63
21.68,302.8,65.61
21.73,301.0,65.53
21.8,298.4,65.37
21.87,295.7,65.2
21.88,294.7,65.22
21.87,294.2,65.29
21.86,293.6,65.37
21.87,293.7,65.42
21.92,294.5,65.47
21.96,295.3,65.51
22.0,294.3,65.33
22.05,290.6,64.81
22.08,287.4,64.45
22.05,285.7,64.52
22.02,283.9,64.6
21.99,282.1,64.67
