TymeBreathRate,tidal_volume,TymeVentilation
21.9,146.9,43.12
22.02,147.8,43.28
22.13,148.6,43.45
22.24,149.5,43.61
22.36,150.3,43.77
22.47,151.2,43.93
22.75,153.3,44.33
23.09,155.8,44.81
23.4,158.2,45.27
23.71,160.6,45.71
23.95,162.3,46.04
24.18,164.1,46.38
24.42,165.9,46.73
24.68,167.9,47.1
24.94,169.8,47.46
25.18,171.6,47.8
25.41,173.4,48.14
25.67,175.3,48.51
25.93,177.3,48.88
26.26,179.6,49.32
26.69,182.5,49.87
27.01,184.4,50.23
27.3,186.0,50.55
27.6,187.8,50.88
27.97,190.1,51.33
28.3,192.5,51.78
28.49,195.0,52.25
28.74,197.5,52.72
29.09,199.9,53.17
29.59,202.7,53.72
30.16,205.9,54.31
30.36,208.0,54.71
30.55,210.0,55.11
30.72,210.5,55.18
30.89,211.2,55.35
31.1,213.4,56.03
31.16,214.5,56.3
31.13,215.0,56.34
31.07,215.0,56.17
30.97,214.5,55.8
30.77,214.1,55.53
30.39,213.5,55.44
29.92,219.0,56.09
29.56,222.2,56.51
29.32,222.8,56.67
29.09,223.4,56.84
28.86,223.9,57.0
28.34,227.3,58.19
27.86,231.3,59.3
27.63,235.0,59.68
27.41,238.8,60.06
27.18,240.7,60.34
26.94,241.6,60.57
26.71,242.5,60.79
26.5,243.4,61.05
26.31,244.3,61.32
26.12,245.1,61.59
25.92,246.0,61.86
25.77,247.4,62.16
25.67,249.3,62.47
25.56,251.3,62.78
25.46,253.2,63.09
25.36,255.1,63.4
25.07,258.6,64.3
24.74,262.6,65.36
24.41,265.3,65.94
24.09,266.3,65.96
23.77,267.4,65.98
23.44,268.4,65.97
23.01,266.1,65.14
22.76,266.0,64.74
22.62,267.4,64.63
22.48,268.6,64.45
22.34,267.9,63.69
22.19,267.1,62.93
22.05,266.3,62.17
21.99,265.7,61.6
21.95,265.2,61.08
21.92,264.6,60.56
22.03,264.7,60.33
22.16,264.7,60.12
22.28,266.3,60.15
22.39,269.8,60.49
22.51,273.4,60.83
22.58,273.2,60.28
22.66,273.0,59.74
22.74,272.8,59.19
22.84,272.3,58.6
23.07,269.5,57.82
23.29,268.3,57.12
23.5,270.3,56.63
23.59,271.7,56.33
23.57,272.3,56.26
23.54,272.8,56.19
23.51,273.4,56.12
23.48,274.2,56.69
23.45,275.2,57.55
23.4,275.1,58.09
23.34,273.9,58.29
23.29,272.9,58.45
23.24,272.1,58.56
23.2,271.3,58.68
23.14,270.9,58.78
23.06,272.0,58.82
22.98,272.9,58.84
22.96,271.5,58.61
22.95,270.1,58.38
22.93,268.7,58.14
22.8,268.5,58.13
22.65,268.6,58.16
22.5,269.5,58.2
22.36,270.7,58.25
22.21,271.8,58.29
22.06,272.9,58.33
21.88,272.8,58.32
21.7,272.7,58.3
21.54,272.7,58.47
21.39,272.8,58.72
21.25,272.8,58.97
21.12,274.4,59.21
21.0,276.5,59.45
20.88,278.5,59.68
20.81,278.8,59.61
20.78,278.1,59.36
20.74,277.4,59.11
20.71,276.1,58.89
20.69,274.2,58.71
20.67,272.3,58.53
20.66,270.4,58.35
20.64,269.5,58.27
20.62,269.6,58.29
20.6,269.6,58.31
20.59,269.7,58.32
20.57,269.8,58.31
20.54,270.3,58.17
20.5,270.8,58.02
20.47,271.2,57.88
20.44,271.7,57.74
20.4,271.6,57.6
20.36,269.9,57.45
20.32,268.1,57.3
20.28,266.4,57.14
20.15,265.3,57.2
20.13,264.6,57.21
20.21,264.1,57.17
20.28,263.3,57.18
20.31,261.8,57.36
20.34,260.2,57.54
20.37,258.6,57.56
20.36,256.9,57.18
20.36,255.3,56.8
20.37,253.9,56.51
20.44,253.4,56.57
20.5,252.9,56.62
20.6,252.7,56.75
20.85,253.3,57.23
21.05,253.7,57.58
21.16,253.8,57.7
21.27,253.8,57.82
21.37,253.9,57.94
21.53,253.5,57.82
21.7,253.0,57.63
21.87,252.4,57.43
22.2,252.1,57.37
22.57,251.9,57.37
22.67,251.5,57.4
22.78,251.2,57.44
22.89,250.8,57.47
23.0,250.5,57.5
23.19,249.2,57.9
23.38,247.9,58.29
23.63,247.4,58.96
23.89,247.3,59.78
24.16,247.4,60.41
24.42,247.7,60.85
24.66,247.4,61.17
24.86,245.3,61.2
25.06,243.2,61.23
25.26,241.1,61.26
25.58,241.2,61.4
25.93,241.8,61.56
26.17,239.4,60.78
26.37,236.2,59.72
26.43,236.7,60.21
26.43,239.0,61.44
26.44,240.9,62.3
26.5,239.4,62.21
26.58,236.9,61.84
26.68,235.1,61.75
26.85,235.4,62.42
27.0,236.8,63.32
27.15,240.9,64.75
27.29,241.8,65.21
27.43,240.6,65.07
27.56,239.4,64.93
27.7,238.1,64.79
27.84,236.4,64.59
27.99,234.5,64.39
28.11,233.1,64.19
28.17,232.7,64.03
28.24,232.2,63.86
28.29,231.5,63.73
28.32,230.4,63.63
28.35,229.4,63.57
28.32,233.2,64.61
28.24,234.8,65.24
28.13,235.2,65.67
28.16,237.4,65.96
28.19,239.6,66.25
28.2,240.2,66.41
28.2,237.9,66.33
28.18,236.8,66.32
28.15,236.6,66.36
28.12,236.5,66.4
28.1,236.4,66.44
28.25,237.0,66.64
28.46,237.9,66.8
28.72,239.1,66.93
28.81,239.0,66.48
28.9,238.8,66.02
28.98,238.5,65.63
29.05,237.8,65.31
29.04,239.4,65.53
28.99,242.0,65.96
28.92,243.6,65.94
28.86,245.1,65.92
28.79,246.7,65.9
28.73,248.2,65.87
28.57,248.0,65.56
28.36,246.9,65.08
28.25,247.8,65.46
28.17,249.5,66.13
28.11,250.3,66.59
28.13,248.0,66.42
28.14,247.4,66.58
28.13,248.6,67.08
28.12,249.7,67.59
28.1,250.9,68.09
28.08,250.9,67.65
28.04,250.3,66.71
27.99,249.8,65.79
27.92,249.5,65.11
27.8,249.3,65.04
27.69,249.2,64.97
27.57,249.1,64.9
27.29,249.4,64.97
27.01,249.6,64.98
26.8,249.1,64.62
26.6,248.5,64.26
26.31,250.0,64.39
26.04,251.3,64.46
25.84,250.9,64.03
25.65,250.5,63.59
25.59,250.9,63.29
25.56,251.5,63.03
25.56,252.4,62.97
25.59,253.7,63.1
25.61,254.3,63.08
25.61,253.4,62.64
25.61,252.5,62.2
25.63,251.1,61.75
25.65,249.5,61.3
25.67,247.9,60.84
25.69,246.3,60.38
25.7,246.9,60.73
25.71,248.4,61.46
25.72,250.0,62.2
25.68,251.0,62.7
25.48,250.3,62.43
25.23,250.1,62.41
24.95,250.6,62.7
24.92,249.8,62.67
24.88,249.0,62.65
24.85,248.3,62.62
24.81,247.5,62.6
24.78,246.7,62.57
24.69,245.4,62.38
24.59,244.1,62.16
24.49,242.7,61.94
24.33,243.3,61.89
24.16,244.4,61.88
24.01,245.4,61.96
23.96,246.3,62.33
23.91,247.2,62.7
23.95,247.5,62.83
24.01,247.6,62.88
24.08,247.8,62.93
24.2,249.8,63.2
24.33,252.1,63.5
24.46,254.4,63.79
24.61,256.1,63.92
24.85,255.3,63.31
25.1,254.6,62.69
25.45,254.6,62.34
25.8,254.6,62.0
25.91,255.3,62.08
26.02,255.9,62.16
26.13,256.6,62.24
26.23,257.5,62.33
26.33,258.9,62.45
26.43,260.2,62.57
26.47,260.1,62.54
26.48,259.2,62.45
26.54,257.2,62.3
26.59,255.9,62.24
26.62,255.7,62.35
26.66,255.5,62.45
26.7,255.3,62.56
26.77,255.0,62.66
26.88,254.6,62.73
26.98,254.7,62.87
26.95,258.4,63.37
26.86,258.5,63.05
26.73,256.3,62.2
26.6,254.7,61.49
26.49,257.6,62.08
26.39,260.5,62.68
26.33,260.1,62.76
26.28,259.3,62.79
26.18,258.5,62.83
26.06,257.8,62.88
25.93,257.0,62.93
25.71,259.1,63.17
25.48,261.3,63.42
25.34,261.1,63.52
25.21,260.7,63.62
25.08,260.3,63.72
24.94,260.2,63.74
24.78,260.5,63.69
24.63,260.7,63.64
24.43,261.4,63.56
24.04,263.7,63.37
23.8,263.3,63.2
23.64,261.3,63.05
23.49,259.4,62.9
23.35,258.5,62.96
23.23,258.4,63.18
23.1,258.2,63.4
23.05,260.5,64.21
23.03,263.7,65.28
23.01,266.9,66.14
22.99,269.7,66.43
22.97,272.5,66.73
22.95,274.3,66.78
22.9,271.5,65.7
