TymeBreathRate,tidal_volume,TymeVentilation
11.37,142.5,32.76
11.85,143.2,33.01
12.33,144.0,33.25
12.81,144.7,33.49
13.57,145.9,33.87
14.39,147.1,34.29
15.0,148.1,34.6
15.56,148.9,34.88
16.11,149.8,35.16
16.69,150.7,35.45
17.28,151.6,35.75
17.88,152.5,36.05
18.64,153.7,36.44
19.41,154.9,36.83
20.11,156.0,37.18
20.77,157.0,37.51
21.41,158.0,37.84
21.98,158.9,38.13
22.55,159.7,38.41
23.14,160.7,38.73
23.78,161.8,39.1
24.42,163.0,39.47
25.09,164.5,39.98
25.79,166.1,40.5
26.55,167.8,41.06
26.86,168.6,41.31
27.08,169.1,41.49
27.3,169.7,41.67
27.51,170.2,41.85
27.75,170.9,42.07
28.09,172.4,42.56
28.32,173.8,43.01
28.37,175.0,43.4
28.42,176.3,43.83
28.43,177.9,44.38
28.39,180.1,45.33
28.31,182.2,46.25
28.22,183.3,46.47
28.13,184.4,46.7
28.04,185.7,47.03
27.92,187.6,47.67
27.76,189.4,48.3
27.45,190.9,48.92
27.21,192.7,49.36
27.02,195.0,49.69
26.82,197.2,50.01
26.62,199.4,50.34
26.38,201.5,50.65
26.1,203.5,50.95
25.93,205.1,51.4
25.8,206.6,51.9
25.67,208.0,52.41
25.55,209.2,52.87
25.46,209.7,53.16
25.37,210.2,53.46
25.25,211.4,54.12
25.11,213.1,54.97
25.09,214.3,55.13
25.07,215.4,55.28
25.05,216.6,55.43
25.01,217.8,55.48
24.96,218.9,55.45
24.91,220.0,55.42
24.84,220.0,54.99
24.67,216.0,53.19
24.5,211.9,51.5
24.25,206.4,50.72
24.11,204.7,50.57
24.04,205.8,50.86
23.99,207.4,51.39
23.99,210.5,52.52
24.03,211.1,52.56
24.08,211.4,52.48
24.12,211.8,52.4
24.17,212.1,52.33
24.31,211.9,52.31
24.51,211.3,52.32
24.71,212.0,52.48
24.91,215.6,53.01
25.11,219.0,53.48
25.36,219.3,53.25
25.61,219.5,53.01
25.76,219.0,53.03
25.89,218.2,53.12
26.02,217.5,53.2
26.15,216.7,53.29
26.24,216.3,53.14
26.33,216.0,52.95
26.39,215.6,52.67
26.37,215.1,52.05
26.35,215.2,51.81
26.32,215.8,51.89
26.3,215.3,51.89
26.28,213.8,51.81
26.31,212.9,51.99
26.35,212.1,52.2
26.38,211.3,52.41
26.43,211.3,52.89
26.51,213.4,54.11
26.58,215.5,55.33
26.65,216.9,55.78
26.7,217.5,55.48
26.82,218.4,55.25
26.96,219.3,55.03
27.07,220.1,54.93
27.14,220.7,55.0
27.04,220.7,54.93
26.78,220.2,54.72
26.55,217.8,54.31
26.32,215.2,53.87
