TymeBreathRate,tidal_volume,TymeVentilation
23.02,243.7,50.42
23.04,243.7,50.58
23.06,243.7,50.74
23.08,243.7,50.9
23.1,243.7,51.06
23.12,243.7,51.22
23.14,243.7,51.38
23.17,243.7,51.54
23.19,243.7,51.7
23.21,243.7,51.86
23.26,243.7,52.21
23.34,243.7,52.86
23.43,243.7,53.5
23.53,243.7,54.22
23.62,243.7,54.93
23.72,243.7,55.67
23.83,243.7,56.42
23.89,243.7,56.92
23.95,243.7,57.35
24.01,243.7,57.77
24.08,243.7,58.3
24.21,243.7,59.27
24.3,243.7,59.96
24.37,243.8,60.46
24.44,243.8,60.95
24.58,243.8,61.55
24.82,243.8,62.26
25.05,243.8,62.96
25.26,243.8,63.61
25.47,243.8,64.27
25.71,243.8,64.84
25.95,243.8,65.4
26.25,243.8,66.09
26.82,243.8,67.23
27.16,243.8,67.92
27.47,243.8,68.53
27.89,243.8,69.23
28.53,243.8,70.11
29.11,243.8,70.88
29.63,243.8,71.59
30.26,245.0,72.67
31.05,248.1,74.32
31.64,244.2,73.74
32.18,241.8,73.63
32.66,241.0,74.04
33.09,242.4,74.62
33.49,245.1,75.48
33.83,248.6,76.94
33.95,249.8,77.61
34.04,250.6,78.13
34.13,251.4,78.65
34.24,252.4,79.19
34.67,254.7,80.11
35.01,251.1,79.53
35.33,246.5,78.68
35.6,241.9,77.69
35.87,239.3,77.32
36.12,241.0,78.42
36.28,243.1,79.51
36.31,245.8,80.6
36.35,248.5,81.69
36.32,251.5,82.7
36.11,255.5,83.46
35.8,256.4,83.49
35.43,256.5,83.52
35.01,257.3,84.07
34.58,258.3,84.54
34.17,260.4,85.31
33.82,264.6,86.7
33.51,268.8,87.63
33.28,273.2,87.95
33.21,274.4,88.01
33.17,275.0,88.02
33.13,275.5,88.03
33.12,276.5,88.27
33.19,278.7,89.15
33.26,279.0,89.04
33.33,277.5,88.05
33.36,276.2,87.16
33.39,274.9,86.3
33.33,276.2,86.41
33.24,278.1,86.76
33.13,279.8,87.02
32.9,280.6,86.93
32.63,280.9,86.87
32.3,280.4,86.9
31.96,278.1,86.11
31.66,275.0,85.25
31.46,270.8,84.65
31.36,270.1,84.97
31.36,273.1,86.31
31.35,276.1,87.65
31.36,279.9,88.33
31.36,283.9,88.89
31.39,285.1,88.72
31.44,285.6,88.43
31.59,285.5,88.16
31.75,285.9,88.16
31.93,287.5,88.83
32.0,287.4,88.96
32.03,286.6,88.84
32.05,285.9,88.73
32.03,282.9,89.35
31.98,279.2,90.25
31.78,281.0,92.84
31.62,283.1,94.76
31.57,284.1,94.83
31.51,284.2,94.77
31.45,283.7,94.57
31.38,282.0,94.4
31.32,280.2,94.24
31.26,279.0,94.29
31.23,282.6,95.82
31.26,286.5,97.01
31.37,290.9,97.78
31.45,291.0,97.44
31.52,290.0,96.81
31.66,287.7,95.92
31.88,283.5,94.64
32.27,280.4,94.22
32.84,278.5,94.74
33.2,279.8,95.42
33.55,281.2,96.11
33.95,282.4,96.67
34.4,283.2,97.09
34.75,286.6,97.38
35.07,290.5,97.62
35.1,287.1,96.25
35.1,283.6,95.27
35.06,279.7,94.93
35.07,283.5,97.05
35.36,287.8,96.89
35.46,287.6,96.66
35.56,287.4,96.43
35.68,285.9,96.04
35.81,283.9,95.6
36.1,283.1,96.08
36.39,282.8,96.63
36.66,284.5,97.09
36.77,285.6,97.32
36.76,286.3,97.36
36.74,286.9,97.4
36.72,290.6,97.94
36.66,293.4,98.31
36.49,291.8,97.89
35.93,288.6,96.77
35.34,285.4,95.89
34.9,283.4,95.88
34.48,282.3,95.97
34.08,283.2,96.27
33.89,283.7,96.35
33.75,284.2,96.37
33.61,284.7,96.39
33.51,284.7,96.35
33.43,284.5,96.27
33.45,287.2,97.35
33.48,290.1,98.05
33.52,293.3,97.22
33.5,293.9,96.03
33.41,292.2,94.51
33.32,290.4,92.99
33.1,287.7,92.27
32.87,285.3,92.06
32.75,285.6,92.9
32.59,286.1,93.48
32.39,286.9,93.86
32.25,286.8,93.22
32.12,286.7,92.46
32.12,285.6,92.08
32.2,284.1,91.91
32.24,286.8,92.46
32.28,289.8,93.05
32.32,292.7,93.64
32.28,294.4,93.76
32.23,295.6,93.75
32.34,294.0,93.03
32.5,291.7,92.32
32.69,289.0,91.64
32.85,288.8,91.66
33.01,288.8,91.72
33.16,288.3,91.86
33.3,287.8,92.02
33.53,287.5,91.98
33.76,287.6,91.93
33.94,288.0,91.93
33.91,288.7,91.6
33.84,289.4,91.21
33.77,289.8,90.85
33.68,288.0,90.73
33.58,287.2,90.82
33.49,287.6,91.03
33.51,288.4,90.87
33.62,288.6,90.37
33.75,288.6,89.79
33.82,286.8,89.31
33.89,285.0,88.82
33.95,283.5,88.48
33.97,283.2,88.71
33.98,282.8,89.01
33.95,282.1,89.47
33.92,281.4,89.93
33.85,283.7,90.69
33.74,288.4,91.7
33.57,288.0,91.03
33.38,287.2,90.43
33.15,287.7,90.73
32.88,288.6,91.12
32.6,289.6,91.52
32.4,290.3,91.68
32.2,291.1,91.85
32.0,292.5,91.92
31.79,294.5,91.91
31.61,293.3,90.85
31.45,290.2,89.18
31.49,288.1,88.64
31.58,286.3,88.39
31.66,284.5,88.15
31.83,285.5,88.74
32.02,287.5,89.43
32.22,290.9,89.58
32.38,293.1,89.37
32.47,291.2,88.08
32.49,289.3,87.09
32.43,287.1,86.51
32.36,285.0,86.06
32.16,283.2,87.63
31.94,282.0,88.83
31.7,281.7,89.29
