TymeBreathRate,tidal_volume,TymeVentilation
13.17,249.0,57.33
13.61,249.6,57.47
14.04,250.1,57.61
14.48,250.7,57.75
15.1,251.6,57.95
15.84,252.6,58.19
16.37,253.3,58.36
16.69,253.7,58.47
17.01,254.2,58.57
17.33,254.6,58.68
17.65,255.0,58.78
18.04,255.6,58.91
18.49,256.2,59.05
18.93,256.8,59.2
19.38,257.4,59.34
20.5,258.9,59.7
21.19,259.8,59.93
21.57,260.4,60.05
21.95,260.9,60.18
22.34,261.4,60.3
23.07,262.4,60.54
24.17,263.9,60.9
24.59,264.7,61.09
25.01,265.5,61.27
25.45,266.4,61.49
25.92,267.5,61.76
26.38,268.8,62.08
26.83,270.4,62.46
27.18,271.9,62.81
27.47,273.2,63.13
27.73,274.6,63.45
28.09,276.0,63.79
28.36,277.3,64.1
28.55,278.5,64.38
28.7,278.1,64.57
28.84,277.0,64.71
28.97,275.9,64.85
29.06,276.9,65.72
29.08,280.7,67.55
29.0,285.1,68.99
28.83,290.0,70.0
28.61,292.5,70.73
28.3,291.1,70.99
27.99,290.0,71.29
27.66,290.4,71.86
27.33,290.8,72.44
27.0,291.0,72.99
26.66,290.4,73.46
26.33,289.9,73.93
25.99,289.4,74.41
25.31,288.7,76.36
24.58,288.0,78.38
24.16,287.6,78.25
23.75,287.3,78.12
23.45,287.5,78.27
23.25,288.0,78.63
23.05,288.6,78.98
22.9,289.2,79.35
22.86,290.1,79.75
22.83,291.0,80.15
22.79,291.9,80.55
22.76,292.8,80.95
22.72,294.8,81.58
22.69,297.4,82.33
22.65,300.0,83.08
22.68,304.3,83.86
22.72,309.1,84.65
22.87,312.5,85.28
23.1,314.7,85.78
23.28,316.8,86.34
23.42,318.8,86.93
23.56,320.9,87.52
23.74,323.1,88.07
24.08,326.7,88.43
24.41,329.2,88.77
24.72,328.7,89.03
25.13,328.6,89.56
25.69,328.8,90.42
26.12,329.2,91.41
26.52,329.6,92.45
26.92,330.0,93.49
27.48,331.3,93.88
28.04,332.7,94.21
28.55,331.4,94.37
29.04,330.6,94.88
29.55,334.4,97.16
30.13,339.8,99.32
30.68,345.4,101.0
30.82,346.1,101.1
30.96,346.9,101.2
31.05,344.3,101.2
31.1,339.8,101.4
31.16,341.6,103.1
31.34,342.9,104.5
31.67,343.5,105.6
31.89,343.3,106.0
32.04,342.6,106.0
32.19,341.9,106.0
32.34,344.0,105.9
32.48,345.5,105.9
32.66,342.5,106.0
32.78,340.3,106.1
32.76,340.4,106.5
32.75,340.4,106.9
32.66,342.1,107.7
32.52,344.7,108.7
32.36,343.1,107.2
32.25,336.3,105.6
32.13,331.5,104.8
32.0,329.9,104.8
31.89,328.5,104.9
