TymeBreathRate,tidal_volume,TymeVentilation
23.31,151.3,32.21
23.38,153.0,32.81
23.46,154.7,33.39
23.52,156.1,33.87
23.58,157.4,34.36
23.63,158.4,34.68
23.66,159.2,34.97
23.7,160.0,35.26
23.74,160.8,35.54
23.82,162.6,36.18
23.91,164.6,36.87
23.96,165.7,37.28
24.01,166.9,37.68
24.08,168.2,38.15
24.15,169.9,38.75
24.22,171.3,39.25
24.26,172.3,39.59
24.31,173.2,39.93
24.35,174.2,40.26
24.64,175.6,40.74
24.96,177.0,41.24
25.31,178.4,41.74
25.68,179.8,42.24
25.98,181.1,42.68
26.03,181.7,42.9
26.09,182.3,43.12
26.14,182.9,43.34
26.2,183.5,43.56
26.25,184.2,43.78
26.27,186.5,44.61
26.17,188.9,45.43
25.99,191.0,46.18
25.85,192.8,46.82
25.71,194.6,47.47
25.56,196.6,48.15
25.48,197.4,48.45
25.48,197.1,48.38
25.49,196.8,48.32
25.49,196.5,48.25
25.51,196.5,48.26
25.58,197.6,48.66
25.65,198.7,49.04
25.71,198.9,49.11
25.78,199.1,49.18
25.84,199.3,49.26
25.9,199.5,49.33
25.97,199.6,49.41
26.11,199.0,49.63
26.3,197.9,49.93
26.49,196.9,50.07
26.7,196.2,49.99
26.91,195.5,49.92
27.08,198.1,50.93
27.25,201.8,52.31
27.41,205.5,53.65
27.46,207.4,54.03
27.52,209.3,54.41
27.57,211.3,54.79
27.58,213.4,55.2
27.46,216.3,55.7
27.34,219.1,56.21
27.0,222.9,56.58
26.65,226.7,56.94
25.99,231.9,57.63
25.76,232.3,57.83
25.68,231.3,57.87
25.65,229.3,57.69
25.73,225.5,57.09
25.86,223.6,56.72
26.08,225.8,56.91
26.3,228.0,57.1
26.55,230.5,57.31
26.97,234.5,57.66
27.4,238.5,58.0
27.65,238.8,57.92
27.89,239.2,57.85
28.14,239.5,57.78
28.36,240.3,57.89
28.57,241.2,58.03
28.61,243.5,58.42
28.58,246.4,58.91
28.48,248.1,59.32
28.17,246.9,59.49
27.82,247.6,59.9
27.42,251.8,60.74
27.02,250.5,60.53
26.63,247.9,60.07
26.45,248.0,60.23
26.27,248.0,60.39
26.09,248.1,60.55
25.91,248.2,60.72
