TymeBreathRate,tidal_volume,TymeVentilation
16.36,82.6,22.59
16.94,84.51,23.03
17.52,86.43,23.48
18.1,88.36,23.92
18.68,90.29,24.37
19.36,92.54,24.89
20.29,95.62,25.6
21.16,98.5,26.27
22.0,101.3,26.91
22.78,103.9,27.5
23.55,106.4,28.09
24.22,108.6,28.61
24.88,110.8,29.11
25.63,113.3,29.69
26.44,116.0,30.31
26.98,117.7,30.71
27.42,119.2,31.03
27.87,120.6,31.36
28.43,122.5,31.8
29.31,125.7,32.55
30.05,128.7,33.23
30.75,131.5,33.88
31.55,135.4,34.79
32.07,138.9,35.59
32.42,142.0,36.32
32.56,144.8,36.96
32.64,147.8,37.65
32.6,151.0,38.4
32.42,152.8,39.02
32.23,154.6,39.6
32.07,157.2,40.17
31.93,160.1,40.93
31.84,163.2,41.95
31.78,166.0,42.29
31.72,168.7,42.58
31.67,171.4,42.86
31.54,173.6,42.93
31.36,175.5,42.87
31.13,177.2,42.87
30.81,178.3,42.98
30.48,179.5,43.4
30.15,180.7,43.9
29.86,182.5,44.43
29.61,184.7,44.99
29.35,186.9,45.55
29.09,188.7,45.95
28.83,190.3,46.21
28.56,191.9,46.48
28.3,193.6,46.74
27.95,195.8,47.12
27.49,199.0,47.65
27.02,202.1,48.18
26.35,205.5,48.99
25.82,207.9,49.48
25.42,209.4,49.66
25.02,210.9,49.83
24.57,216.3,50.62
24.11,222.4,51.51
23.86,223.7,51.7
23.61,224.9,51.89
23.4,226.3,52.12
23.28,228.0,52.47
23.17,229.6,52.81
23.06,231.3,53.16
22.98,233.1,53.64
22.93,235.1,54.19
22.87,237.0,54.74
22.82,239.8,55.19
22.77,243.0,55.6
22.72,246.2,56.0
22.67,248.4,56.12
22.63,248.8,55.72
22.6,249.0,55.4
22.6,248.5,55.38
22.59,248.1,55.37
22.59,247.6,55.35
22.59,247.1,55.33
22.57,247.9,55.48
22.56,248.8,55.62
22.54,249.6,55.77
22.43,253.1,56.14
22.3,257.3,56.57
22.16,261.1,56.88
22.01,264.4,57.05
21.98,264.9,57.15
21.95,265.1,57.24
21.93,265.4,57.34
21.9,265.6,57.43
