time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2
0,206,73,83,0.3,18.4,51.509083,-0.08110698,0.0,27,0.0
1,225,76,84,2.0,18.4,51.509083,-0.08113095,1.7,28,1.3128528E-4
2,224,76,86,5.2,18.2,51.509083,-0.081176974,2.45,28,2.6257057E-4
3,227,76,87,9.4,18.0,51.50908,-0.08123699,3.033,29,3.9385585E-4
4,227,77,88,14.6,17.8,51.509068,-0.08130798,3.575,28,5.2514113E-4
5,224,77,90,20.39,17.6,51.509056,-0.08138895,4.019,28,6.564264E-4
6,225,77,90,26.9,17.2,51.50904,-0.08147897,4.98,28,7.877117E-4
7,224,74,90,33.9,17.2,51.509026,-0.08157696,5.74,29,9.18997E-4
8,225,73,90,41.2,17.2,51.509014,-0.08167997,6.36,29,0.0010502823
9,226,72,90,48.6,17.2,51.50901,-0.08178692,6.8,30,0.0011815676
10,227,72,90,56.1,17.4,51.509007,-0.08189396,7.14,30,0.0013128528
11,226,74,90,63.5,17.6,51.509003,-0.082001,7.32,29,0.0014441381
12,224,73,89,70.8,17.8,51.509007,-0.08210695,7.38,29,0.0015754234
13,224,73,89,78.0,18.0,51.50901,-0.08220996,7.36,29,0.0017067087
14,227,72,90,85.2,18.0,51.509014,-0.08231297,7.32,30,0.001837994
15,228,74,92,92.3,18.2,51.50902,-0.08241397,7.24,29,0.0019692793
16,224,76,92,99.4,18.2,51.509033,-0.082515985,7.18,28,0.0021005645
17,225,75,92,106.5,18.4,51.509045,-0.082616985,7.14,29,0.0022318498
18,224,74,93,113.6,18.6,51.50906,-0.08271698,7.12,29,0.002363135
19,225,73,93,120.7,18.6,51.509075,-0.08281597,7.1,29,0.0024944204
20,226,74,94,127.8,18.8,51.50909,-0.08291496,7.1,29,0.0026257057
21,225,74,95,134.8,19.0,51.509106,-0.083012946,7.08,29,0.002756991
22,225,73,96,141.8,19.2,51.509117,-0.083111934,7.06,29,0.0028882762
23,227,73,97,148.69,19.4,51.50913,-0.08320899,7.02,30,0.0030195615
24,227,74,98,155.5,19.6,51.50914,-0.08330598,6.96,29,0.0031508468
25,225,74,99,162.3,19.8,51.50915,-0.08340195,6.9,29,0.003282132
26,225,74,99,169.1,19.8,51.509167,-0.083497,6.86,29,0.0034134174
27,224,74,100,175.7,20.0,51.509174,-0.08359197,6.78,29,0.0035447027
28,227,73,101,182.4,20.2,51.509186,-0.08368593,6.74,30,0.003675988
29,227,74,101,188.9,20.4,51.509197,-0.08377896,6.68,29,0.0038072732
30,225,74,101,195.5,20.6,51.50921,-0.08387192,6.64,29,0.0039385585
31,225,75,102,202.0,20.8,51.509224,-0.08396295,6.58,29,0.004069844
32,226,75,102,208.5,21.0,51.509235,-0.08405398,6.56,29,0.004201129
33,226,74,102,214.9,21.2,51.509247,-0.08414492,6.5,29,0.0043324144
34,223,74,102,221.4,21.2,51.50926,-0.08423695,6.5,29,0.0044636996
35,224,73,102,227.8,21.4,51.509266,-0.08432798,6.46,29,0.004594985
36,226,72,102,234.1,21.6,51.509274,-0.08441792,6.42,30,0.00472627
37,226,73,103,240.5,21.8,51.509285,-0.08450895,6.4,30,0.0048575555
38,226,72,103,246.8,22.0,51.509296,-0.08459796,6.38,30,0.004988841
39,224,72,103,253.1,22.2,51.509304,-0.08468698,6.34,30,0.005120126
40,227,72,104,259.3,22.2,51.509315,-0.084774986,6.3,30,0.0052514113
41,227,72,104,265.5,22.4,51.509327,-0.084863,6.28,30,0.0053826966
42,226,73,104,271.7,22.6,51.50934,-0.084950924,6.24,30,0.005513982
43,226,73,104,277.89,22.8,51.50935,-0.08503793,6.22,30,0.005645267
44,226,73,105,284.1,23.0,51.509357,-0.08512493,6.2,30,0.0057765525
45,227,74,105,290.2,23.2,51.50937,-0.08521193,6.18,29,0.0059078378
46,227,74,105,296.39,23.2,51.50938,-0.08529894,6.18,29,0.006039123
47,224,75,105,302.5,23.4,51.50939,-0.08538595,6.16,29,0.0061704083
