time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2
0,211,14,82,0.3,284.6,47.26995,11.395258,0.0,144,0.0
1,211,24,82,0.8,284.6,47.269947,11.395259,0.5,84,0.0
2,226,40,84,3.0,284.6,47.269928,11.395265,1.35,54,1.8484288E-4
3,224,72,88,6.0,284.6,47.2699,11.395269,1.9,30,3.6968576E-4
4,223,72,90,9.6,284.4,47.269867,11.3952675,2.325,30,5.5452867E-4
5,228,71,91,13.8,284.4,47.269833,11.395263,2.7,31,7.393715E-4
6,227,72,92,18.5,284.4,47.26979,11.395256,3.54,30,9.2421443E-4
7,222,72,94,23.5,284.4,47.269745,11.395248,4.1,29,9.2421443E-4
8,226,72,95,29.0,284.4,47.269695,11.39524,4.6,30,0.0011090573
9,225,71,96,34.79,284.4,47.269646,11.395232,5.04,30,0.0012939002
10,224,71,97,40.9,284.4,47.26959,11.395225,5.42,30,0.001478743
11,227,71,97,47.3,284.2,47.26953,11.395217,5.76,31,0.001663586
12,223,70,97,54.0,284.2,47.26947,11.39521,6.1,30,0.0018484289
13,225,70,97,61.0,284.2,47.26941,11.395202,6.4,31,0.0020332718
14,226,69,96,68.2,284.2,47.269344,11.395194,6.68,31,0.0022181147
15,226,69,96,75.59,284.0,47.26928,11.3951845,6.94,31,0.0024029575
16,226,70,96,83.3,284.0,47.26921,11.395176,7.2,31,0.0025878004
17,225,70,96,91.2,284.0,47.26914,11.395166,7.44,31,0.0027726432
18,227,71,96,99.3,283.8,47.269066,11.395155,7.66,31,0.002957486
19,225,71,97,107.7,283.8,47.268993,11.3951435,7.9,30,0.003142329
20,226,71,99,116.2,283.6,47.268917,11.395133,8.119,30,0.003327172
21,227,72,99,124.8,283.6,47.26884,11.395118,8.3,30,0.0035120149
22,224,72,100,133.6,283.6,47.26876,11.395102,8.48,30,0.0036968577
23,224,73,101,142.5,283.6,47.26868,11.395105,8.64,29,0.0038817006
24,223,71,102,151.5,283.6,47.268604,11.395143,8.76,30,0.0040665437
25,229,70,103,160.5,283.6,47.26855,11.395228,8.86,31,0.0042513865
26,227,71,103,169.4,283.6,47.268528,11.395341,8.92,31,0.0044362294
27,227,73,103,178.4,283.6,47.268524,11.395461,8.96,30,0.004621072
28,226,73,103,187.6,283.4,47.268536,11.395582,9.02,30,0.004805915
29,223,73,104,196.9,283.4,47.268555,11.395703,9.08,29,0.004990758
30,224,72,104,206.3,283.2,47.268574,11.395826,9.16,30,0.0051756008
31,227,72,105,215.9,283.0,47.268593,11.395951,9.3,30,0.0053604436
32,228,72,108,225.7,283.0,47.268612,11.396077,9.46,30,0.0055452865
33,227,73,108,235.6,282.8,47.268635,11.396205,9.6,30,0.0057301293
34,226,74,108,245.6,282.6,47.268654,11.396335,9.74,29,0.005914972
35,224,73,108,255.8,282.6,47.268677,11.396467,9.9,29,0.006099815
36,228,74,108,266.1,282.4,47.2687,11.3966,10.04,29,0.006284658
37,227,75,107,276.5,282.2,47.268723,11.396735,10.16,29,0.0064695007
38,225,77,108,287.0,282.0,47.26874,11.396871,10.28,28,0.006654344
39,225,77,108,297.6,281.8,47.268764,11.397009,10.4,28,0.006839187
40,222,75,108,308.39,281.6,47.268787,11.397148,10.52,28,0.006839187
41,224,74,109,319.2,281.6,47.268806,11.397289,10.62,29,0.0070240297
42,225,73,109,330.1,281.4,47.26883,11.39743,10.72,29,0.0072088726
43,227,73,111,341.1,281.2,47.268852,11.3975725,10.82,30,0.0073937154
44,225,74,111,352.2,281.0,47.26888,11.397716,10.92,29,0.0075785583
45,226,73,112,363.3,280.8,47.2689,11.39786,10.98,30,0.007763401
46,225,73,112,374.5,280.8,47.26893,11.398004,11.06,29,0.007948244
47,224,73,112,385.8,280.6,47.26896,11.398148,11.14,29,0.008133087
48,224,73,113,397.1,280.4,47.268993,11.39829,11.2,29,0.00831793
49,227,72,113,408.4,280.2,47.269028,11.398431,11.24,30,0.008502773
50,227,71,113,419.8,280.0,47.269062,11.398574,11.3,31,0.008687615
51,225,72,113,431.3,280.0,47.269093,11.398719,11.36,30,0.008872459
52,225,73,112,442.7,279.8,47.26911,11.398869,11.38,29,0.009057301
53,226,73,113,454.2,279.8,47.269104,11.39902,11.42,30,0.009242144
54,225,73,113,465.5,279.8,47.26904,11.399136,11.42,29,0.009426987
55,227,73,113,476.7,280.0,47.268948,11.399196,11.38,30,0.00961183
56,232,73,112,487.6,280.2,47.268852,11.399231,11.26,30,0.0097966725
57,224,77,113,498.2,280.4,47.26876,11.3992605,11.1,28,0.009981516
58,223,79,113,508.7,280.6,47.26867,11.399296,10.9,27,0.010166358
59,223,77,112,518.9,280.8,47.26858,11.399335,10.68,28,0.0103512015
60,224,75,110,529.0,281.0,47.268494,11.399368,10.46,29,0.010536044
61,226,73,110,538.79,281.2,47.268406,11.399396,10.24,30,0.010720887
62,226,73,110,548.5,281.4,47.268322,11.399421,10.06,30,0.010905731
63,226,74,111,558.0,281.4,47.268238,11.399444,9.86,29,0.011090573
64,226,74,114,567.4,281.6,47.268154,11.399465,9.7,29,0.011275416
