time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,179,74,94,8.28,8.276,20,23,,37.09,31.95,,0.0,0.0,0.0
1,181,74,95,16.55,8.276,20,23,638,37.09,31.85,,0.0,0.0,0.0
2,180,74,94,24.83,8.276,20,23,643:646,37.09,31.85,,0.0,0.0,0.0
3,179,74,94,33.11,8.276,20,23,643,37.09,31.85,,0.0,0.0,0.0
4,179,74,93,41.38,8.276,20,23,651:658,37.09,31.8,,0.0,0.0,0.0
5,161,74,92,49.67,8.276,20,21,648,37.09,31.85,18.9,0.0,0.0,0.0
6,146,74,91,57.45,7.791,20,19,670:667,37.09,31.85,18.9,0.0,0.0,0.0
7,172,75,91,65.24,7.791,20,22,,37.09,31.8,18.9,0.0,0.0,0.0
8,177,75,91,73.53,8.276,20,23,1314:652,37.09,31.85,18.9,0.0,0.0,0.0
9,169,74,91,81.79,8.276,20,22,646,37.09,31.8,18.9,0.0,0.0,0.0
10,160,73,93,90.07,8.276,20,21,638:626,37.09,31.8,22.44,0.0,0.0,0.0
11,160,73,94,98.35,8.276,20,21,628,37.09,31.85,22.44,0.0,0.0,0.0
12,160,73,95,106.62,8.276,20,21,630:632,37.09,31.8,22.44,0.0,0.0,0.0
13,160,73,95,114.42,7.791,20,21,626:617,37.09,31.8,22.44,0.0,0.0,0.0
14,160,74,97,122.21,7.791,20,21,616:620,37.09,31.8,22.44,0.0,0.0,0.0
15,161,74,97,130.0,7.791,20,21,624,37.09,31.85,22.05,0.0,0.0,0.0
16,160,74,97,137.79,7.791,20,21,617:617,37.09,31.85,22.05,0.0,0.0,0.0
17,159,73,97,145.58,7.791,20,21,619,37.09,31.8,22.05,0.0,0.0,0.0
18,159,73,97,153.37,7.791,20,21,616:612,37.09,31.8,22.05,0.0,0.0,0.0
19,159,73,98,161.17,7.791,20,21,614:614,37.09,31.8,22.05,0.0,0.0,0.0
