skin_temperature,HeatStrainIndex,hrv
32.55,1.1,514:514
31.5,1.1,505:509
31.5,1.1,507
31.5,1.1,505:508:504
31.5,1.1,497:495
31.5,1.1,500:504
31.5,1.1,495:500
31.5,1.1,497:497
31.5,1.1,501:497
31.5,1.1,493:500
31.5,1.1,497:490
31.5,1.1,495:492
31.45,1.0,493:497
31.45,1.0,493:493
31.45,1.0,488:488
31.45,1.0,493:488
31.45,1.0,492:476
31.45,1.0,486:485
31.45,1.0,483:481
31.45,1.0,479:483
31.45,1.0,479:479
31.45,1.0,481:485
31.45,1.0,961
31.45,1.0,958:470
31.45,1.0,474:474
31.4,1.0,476:472
31.4,1.0,479:477
31.4,1.0,472:474
31.4,1.0,472:469
31.4,1.0,
31.4,1.0,1409:467:467
31.4,1.0,462:462
31.4,1.0,460:462
31.4,1.0,458:460
31.4,1.0,458:462
31.4,1.0,458:458
31.4,1.0,458:456
31.4,1.0,453:456:456
31.4,1.0,456:453
31.4,1.0,451:453:453
31.4,1.0,446:455
31.4,1.0,449:448
31.4,1.0,453:448
31.35,1.0,449:448
31.35,1.0,449:448:448
31.35,1.0,444:446
31.35,1.0,444
31.35,1.0,890:444
31.35,1.0,444:439
31.35,1.0,446:442:444
31.35,1.0,439:441
31.35,1.0,439:442
31.3,1.0,442:437
31.35,1.0,441:884
31.3,1.0,437:442
31.35,1.0,441:439:439
31.3,1.0,437:444
31.3,1.0,439:439
31.3,1.0,444:442
31.3,1.0,442:441:446
31.3,1.0,444:444
31.3,1.0,444:446
31.3,1.0,446:442
31.3,1.0,448:444
31.3,1.0,446:442:449
31.3,1.0,446:446
31.3,1.0,446:449
31.3,1.0,449:446
31.3,1.0,446:449
31.3,1.0,449:446:449
31.3,1.0,449:449
31.25,1.0,446:451:451
31.3,1.0,449:451
31.3,1.0,448:453
31.3,1.0,451:451
31.3,1.0,449:455
31.25,1.0,451:451
31.25,1.0,453:453:451
31.25,1.0,451:451
31.3,1.0,451:451
31.25,1.0,451:446
31.25,1.0,455:453
