time,heartrate,altitude,temp,hrv,core_temperature,respiration
0,89,105.0,19,,31.22,
1,91,105.2,19,651:658,31.22,
3,86,105.0,19,728:736,31.22,
4,84,105.0,19,755,31.22,
5,81,105.0,19,801,31.22,23.62
6,79,105.0,19,777,31.22,23.62
7,78,105.2,19,773:765,31.22,23.62
9,80,105.2,19,712,31.22,23.62
10,84,105.2,19,689:660,31.22,22.44
11,87,105.2,19,643,31.22,22.44
12,92,105.2,19,629:638,31.22,22.44
13,94,105.2,19,620:629,31.22,22.44
15,95,105.4,19,541:598:736,31.22,22.83
18,96,105.4,19,509,31.22,22.83
19,98,105.4,19,630:603,31.22,22.83
20,99,105.4,19,589:572,31.22,22.83
21,101,105.4,19,583,31.22,22.83
22,104,105.4,19,574:575,31.22,22.83
23,104,105.4,19,582,31.22,22.83
24,103,105.4,19,582:573:578,31.22,21.91
25,104,105.4,19,572,31.22,21.91
26,105,105.4,19,572:574,31.22,21.91
29,106,105.2,19,555,31.22,21.91
30,107,105.2,19,570:547,31.22,20.91
31,108,105.2,19,555:556,31.22,20.91
33,109,105.2,19,551:554,31.22,20.91
36,110,105.2,19,545:541,31.22,22.99
40,111,105.2,19,479:588,31.22,23.99
42,113,105.2,19,463:601,31.22,23.99
44,114,105.2,19,527:532,31.22,23.99
45,113,105.2,19,532:522,31.22,23.87
48,114,105.2,19,529:527,31.22,23.87
50,115,105.2,19,1042,31.22,25.36
53,116,105.2,19,518:508,31.22,25.36
55,117,105.0,19,503:509,31.22,27.53
56,118,105.0,19,504:513,31.22,27.53
58,120,104.8,19,497:500,31.22,27.53
61,121,104.8,19,490:501,31.22,27.8
62,122,104.8,19,486:495:492,31.22,27.8
64,123,104.8,19,488:488,31.22,28.38
69,124,104.8,19,486:490,31.22,29.15
75,123,105.0,19,469:488,31.22,29.28
76,124,105.0,19,474:486,31.22,29.28
78,125,105.0,19,954:499,31.22,29.28
79,124,105.0,19,479:483:481,31.22,28.18
81,125,105.0,19,479:481,31.22,28.18
84,126,105.0,19,476:488,31.22,29.02
86,125,104.8,19,485:453:497,31.22,29.02
90,126,104.8,19,476:479,31.22,28.4
93,127,104.8,19,479:474,31.22,28.4
94,126,104.8,19,483:472:479,31.22,28.78
102,127,104.6,19,945,31.22,30.21
103,126,104.6,19,479:467:477,31.22,30.21
106,127,104.6,19,474:472,31.22,30.77
109,128,104.4,19,472:462,31.22,30.77
110,127,104.4,19,479:476,31.22,30.75
111,126,104.4,19,470:476,31.22,30.75
113,127,104.4,19,465:472,31.22,30.75
116,128,104.6,19,479:455,31.22,30.34
117,127,104.8,19,474:476,31.22,30.34
118,128,104.8,19,465:467,31.22,30.34
119,129,104.8,19,481:462:465,31.22,30.46
120,128,104.8,19,472:469,31.22,30.46
123,129,104.8,19,467:472,31.22,30.46
124,128,105.0,19,470:467,31.22,30.46
137,128,105.2,19,472:474,31.22,31.81
139,129,105.2,19,467:465,31.22,31.81
142,128,105.2,19,467:469:467,31.22,32.23
145,129,105.2,18,460:465,31.22,32.9
147,130,105.2,18,469:460,31.22,32.9
148,129,105.2,18,469:463,31.22,32.9
152,128,105.2,18,460:472,31.22,32.17
153,129,105.2,18,462:462,31.22,32.17
155,128,105.2,18,460:469:465,31.22,31.68
157,129,105.2,18,465:460,31.22,31.68
158,128,105.2,18,474:474,31.22,31.68
160,129,105.2,18,465:465,31.22,30.96
161,128,105.2,18,469:469:467,31.22,30.96
162,129,105.2,18,465:477,31.22,30.96
165,127,105.2,18,483:476,31.22,29.7
166,128,105.2,18,463:465,31.22,29.7
176,129,105.2,18,462:470,31.22,28.68
178,128,105.0,18,470:469,31.22,28.68
181,129,105.0,18,465:465,31.22,28.57
