time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,respiration,PercentageinZ2
0,226,76,90,8.83,8.827,22,28,,,1.8115943E-4
1,224,76,91,17.66,8.827,22,28,657,,3.6231885E-4
2,225,75,91,26.49,8.827,22,29,656:657,,5.4347824E-4
3,226,74,91,35.31,8.827,22,29,656:649,,7.246377E-4
4,225,74,92,44.13,8.827,22,29,648,,9.057971E-4
5,224,73,92,52.96,8.827,22,29,646:643,18.9,0.0010869565
6,225,72,93,61.79,8.827,22,30,646,18.9,0.001268116
7,226,71,93,70.62,8.827,22,30,649:648,18.9,0.0014492754
8,227,70,92,79.44,8.827,22,31,644,18.9,0.0016304348
9,226,72,93,88.28,8.827,22,30,639:642,18.9,0.0018115942
10,226,72,93,97.1,8.827,22,30,646,18.31,0.0019927537
11,227,72,94,105.92,8.827,22,30,639:635,18.31,0.002173913
12,226,73,94,114.76,8.827,22,30,638,18.31,0.0023550724
13,227,73,94,123.58,8.827,22,30,637:629,18.31,0.002536232
14,227,73,95,132.4,8.827,22,30,625,18.31,0.0027173914
15,226,74,95,141.23,8.827,22,29,620,18.31,0.0028985508
16,224,73,97,150.06,8.827,22,29,1230:607,18.5,0.00307971
17,225,73,98,158.88,8.827,22,29,605,18.5,0.0032608695
18,229,73,98,167.71,8.827,22,30,615:559,18.5,0.003442029
19,227,72,100,176.54,8.827,22,30,606:587,18.5,0.0036231885
20,227,74,102,185.36,8.827,22,29,587:578,19.42,0.0038043477
21,226,75,102,194.19,8.827,22,29,587:583,19.42,0.0039855074
22,225,75,103,203.02,8.827,22,29,578,19.42,0.004166667
23,227,75,104,211.84,8.827,22,29,577:577,19.42,0.004347826
24,226,75,104,220.67,8.827,22,29,574:574,19.42,0.0045289854
25,226,75,104,229.51,8.827,22,29,570,22.4,0.004710145
26,225,75,105,238.32,8.827,22,29,569:566,22.4,0.0048913043
27,226,75,106,247.15,8.827,22,29,565:564,22.4,0.005072464
28,225,74,106,255.98,8.827,22,29,561:560,22.4,0.0052536232
29,226,73,107,264.8,8.827,22,30,563,22.4,0.0054347827
30,226,73,107,273.63,8.827,22,30,559:558,22.8,0.005615942
31,227,73,108,282.46,8.827,22,30,556:555,22.8,0.0057971017
32,226,73,108,291.29,8.827,22,30,555:556,22.8,0.0059782607
33,225,73,108,300.11,8.827,22,29,554:555,22.8,0.00615942
34,227,72,108,308.94,8.827,22,30,555:552,22.8,0.0063405796
35,229,74,109,317.77,8.827,22,30,550:550,22.29,0.006521739
36,226,75,109,326.6,8.827,22,29,550,22.29,0.0067028985
37,225,76,108,335.42,8.827,22,28,558:560,22.29,0.006884058
38,225,75,108,344.25,8.827,22,29,555:552,22.29,0.0070652175
39,226,74,108,353.08,8.827,22,29,561:556,22.29,0.007246377
40,227,74,108,361.9,8.827,22,29,540,23.91,0.0074275364
41,228,76,108,370.73,8.827,22,29,560:552,23.91,0.0076086954
42,225,77,108,379.56,8.827,22,28,1103,23.91,0.007789855
43,226,77,109,388.38,8.827,22,28,550:550,23.91,0.007971015
44,226,76,109,397.21,8.827,22,28,546:547,23.91,0.008152174
45,224,77,109,406.03,8.827,22,28,549,25.78,0.008333334
