time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,respiration,PercentageinZ2
0,227,76,89,8.83,8.827,23,29,,37.0,,1.3119917E-4
1,226,77,90,17.66,8.827,22,28,661,37.0,,2.6239833E-4
2,225,77,90,26.48,8.827,22,28,663:666,37.0,,3.9359747E-4
3,225,74,90,35.31,8.827,22,29,670,37.0,,5.2479666E-4
4,226,73,90,44.13,8.827,22,30,671:669,37.0,,6.559958E-4
5,226,72,90,52.96,8.827,22,30,671,37.0,22.44,7.8719493E-4
6,227,72,90,61.79,8.827,22,30,669:671,37.0,22.44,9.1839413E-4
7,227,74,89,70.61,8.827,22,29,671,37.0,22.44,0.0010495933
8,225,73,89,79.44,8.827,22,29,671:669,37.0,22.44,0.0011807925
9,225,73,90,88.27,8.827,22,29,662,37.0,22.44,0.0013119916
10,229,72,91,97.1,8.827,22,30,1304,37.0,21.85,0.0014431907
11,228,74,92,105.92,8.827,22,29,649,37.0,21.85,0.0015743899
12,224,76,92,114.75,8.827,22,28,646:646,37.0,21.85,0.0017055891
13,225,75,93,123.58,8.827,22,29,643,37.0,21.85,0.0018367883
14,225,74,93,132.41,8.827,22,29,642:637,37.0,21.85,0.0019679875
15,225,74,94,141.23,8.827,22,29,634:630,37.0,20.86,0.0020991866
16,226,73,95,150.06,8.827,22,30,626,37.0,20.86,0.0022303858
17,226,73,95,158.89,8.827,22,30,637:601,37.0,20.86,0.002361585
18,226,73,97,167.71,8.827,22,30,619:610,37.0,20.86,0.002492784
19,227,73,98,176.54,8.827,22,30,610,37.0,20.86,0.0026239832
20,227,73,98,185.36,8.827,22,30,606:603,37.0,21.39,0.0027551823
21,226,74,99,194.3,8.939,22,29,601:598,37.0,21.39,0.0028863815
22,225,74,100,203.24,8.939,22,29,597,37.0,21.39,0.0030175806
23,225,73,100,212.19,8.939,22,29,596:595,37.0,21.39,0.0031487797
24,228,74,101,221.01,8.827,22,29,593,37.0,21.39,0.003279979
25,226,74,101,229.83,8.827,22,29,593:592,37.0,21.35,0.0034111782
26,226,74,101,238.67,8.827,22,29,595,37.0,21.35,0.0035423774
27,225,75,102,247.49,8.827,22,29,586:580,37.0,21.35,0.0036735765
28,226,74,102,256.32,8.827,22,29,592:587,37.0,21.35,0.0038047757
29,227,74,102,265.15,8.827,22,29,586:588,37.0,21.35,0.003935975
30,225,74,102,273.97,8.827,22,29,584:587,37.0,20.92,0.004067174
31,225,73,102,282.83,8.827,22,29,583:586,37.0,20.92,0.0041983733
32,226,73,103,291.62,8.827,22,30,582,37.0,20.92,0.0043295724
33,227,73,103,300.45,8.827,22,30,582:582,37.0,20.92,0.0044607716
34,226,72,103,309.28,8.827,22,30,580:578,37.0,20.92,0.0045919707
35,224,72,103,318.1,8.827,22,30,578,37.0,21.82,0.00472317
36,227,72,104,326.93,8.827,22,30,574:519,37.0,21.82,0.004854369
37,227,73,104,335.76,8.827,22,30,606:578,37.0,21.82,0.004985568
38,227,73,104,344.58,8.827,22,30,570:569,37.0,21.82,0.0051167673
39,226,73,105,353.41,8.827,22,30,566,37.0,21.82,0.0052479664
40,227,73,105,362.24,8.827,22,30,559:497,37.0,24.0,0.0053791655
41,227,74,105,371.06,8.827,22,29,620:580,37.0,24.0,0.0055103647
42,227,74,105,379.89,8.827,22,29,566,37.0,24.0,0.005641564
43,225,75,105,388.72,8.827,22,29,570:565,37.0,24.0,0.005772763
44,224,75,105,397.54,8.827,22,29,569:568,37.0,24.0,0.005903962
45,225,73,105,406.37,8.827,22,29,572:568,37.0,25.45,0.006035161
46,225,72,106,415.2,8.827,22,30,568:564,37.0,25.45,0.0061663603
47,228,72,106,424.03,8.827,22,30,574,37.0,25.45,0.0062975595
48,228,74,106,432.85,8.827,22,29,560:566,37.0,25.45,0.006428759
49,226,74,106,441.69,8.827,22,29,564:560,37.0,25.45,0.006559958
50,225,74,107,450.5,8.827,22,29,560:560,37.0,25.62,0.0066911574
51,227,74,107,459.33,8.827,22,29,556:551,37.0,25.62,0.0068223565
52,225,74,108,468.16,8.827,22,29,552:552,37.0,25.62,0.0069535556
53,224,74,108,476.99,8.827,22,29,555,37.0,25.62,0.0070847548
54,227,72,109,485.81,8.827,22,30,550:547,37.0,25.62,0.007215954
55,228,73,110,494.64,8.827,22,30,545:544,37.0,24.96,0.007347153
56,227,74,110,503.47,8.827,22,29,547:550,37.0,24.96,0.007478352
57,227,74,109,512.29,8.827,22,29,550:545,37.0,24.96,0.0076095513
58,223,74,110,521.12,8.827,22,29,544,37.0,24.96,0.0077407504
59,225,73,110,529.95,8.827,22,29,545:546,37.0,24.96,0.00787195
60,227,72,110,538.77,8.827,22,30,549:546,37.0,23.72,0.008003149
61,225,72,110,547.6,8.827,22,30,541:538,37.0,23.72,0.008134348
62,226,72,110,556.44,8.827,22,30,542:546,37.0,23.72,0.008265547
63,227,72,110,565.25,8.827,22,30,547,37.0,23.72,0.008396747
64,227,73,110,574.1,8.827,22,30,547:545:546,37.0,23.72,0.008527946
65,228,74,110,582.91,8.827,22,29,550,37.0,22.51,0.008659145
66,224,74,110,591.73,8.827,22,29,546:545,37.0,22.51,0.008790344
67,227,74,110,600.56,8.827,22,29,544:538,37.0,22.51,0.008921543
68,227,74,110,609.4,8.827,22,29,542:544,37.0,22.51,0.009052742
69,225,75,109,618.21,8.827,22,29,555:552,37.0,22.51,0.009183941
70,225,74,109,627.05,8.827,22,29,554,37.0,21.3,0.009315141
71,228,74,109,635.87,8.827,22,29,550:549,37.0,21.3,0.00944634
72,226,74,109,644.7,8.827,22,29,550,37.0,21.3,0.009577539
73,225,74,109,653.52,8.827,22,29,551:552:547,37.0,21.3,0.009708738
74,226,74,109,662.35,8.827,22,29,546:550,37.0,21.3,0.009839937
75,225,73,109,671.18,8.827,22,29,551,37.0,20.11,0.009971136
76,228,74,109,680.04,8.827,22,29,546:549,37.0,20.11,0.010102335
77,228,74,109,688.86,8.827,22,29,549:547,37.0,20.11,0.0102335345
78,225,75,110,697.67,8.827,22,29,545:542,37.0,20.11,0.010364734
79,225,76,110,706.48,8.827,22,28,545:547,37.0,20.11,0.010495933
80,226,75,110,715.31,8.827,22,29,519:549,37.0,21.28,0.010627132
81,225,74,109,724.14,8.827,22,29,577:546,37.0,21.28,0.010758331
82,225,74,110,732.97,8.827,22,29,541,37.0,21.28,0.01088953
83,227,73,111,741.79,8.827,22,30,540:541,37.0,21.28,0.011020729
84,230,74,110,750.62,8.827,22,30,546:544,37.0,21.28,0.011151928
85,227,76,110,759.44,8.827,22,29,542:540,37.0,23.63,0.011283128
86,226,78,111,768.27,8.827,22,28,538:540,37.0,23.63,0.011414327
87,226,77,111,777.11,8.827,22,28,544:545,37.0,23.63,0.011545526
88,225,77,110,785.93,8.827,22,28,544,37.0,23.63,0.011676725
89,226,77,110,794.76,8.827,22,28,542:547,37.0,23.63,0.011807924
90,223,75,110,803.59,8.827,22,28,546:544,37.0,23.63,0.011939123
91,226,74,110,812.41,8.827,22,29,544:549,37.0,23.63,0.012070322
92,226,74,110,821.23,8.827,22,29,549,37.0,23.63,0.012201522
