time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,135.0,63.0,113.0,0.6,17.4,51.50899,-0.081934944,0.0,20.0,0.0,59.357000000000006,73.19399999999999,13.85,223.7,40.44,32.55,1.1,514:514
1.0,135.0,63.0,114.0,1.3,17.4,51.50899,-0.081945926,0.7,20.0,0.0,60.45,70.01899999999999,14.2,223.9,40.8,31.5,1.1,505:509
2.0,192.0,68.0,114.0,3.1,17.4,51.508995,-0.081969984,1.25,27.0,0.0,62.06500000000001,70.31200000000001,14.55,224.0,41.16,31.5,1.1,507
3.0,225.0,68.0,114.0,5.6,17.6,51.509,-0.082004935,1.667,32.0,0.00015135463,63.376999999999995,70.14999999999999,14.9,224.1,41.52,31.5,1.1,505:508:504
4.0,225.0,67.0,114.0,8.5,17.6,51.509003,-0.08204593,1.975,32.0,0.00030270926,64.171,71.526,15.25,224.3,41.88,31.5,1.1,497:495
5.0,225.0,68.0,116.0,11.8,17.6,51.509003,-0.082093954,2.24,32.0,0.00045406388,64.56800000000001,71.074,15.62,224.4,42.25,31.5,1.1,500:504
6.0,220.0,69.0,116.0,15.4,17.8,51.509007,-0.08214592,2.82,30.0,0.00045406388,65.15700000000001,70.676,16.01,224.6,42.66,31.5,1.1,495:500
7.0,221.0,69.0,117.0,19.3,17.8,51.509007,-0.08220099,3.24,31.0,0.0006054185,65.57000000000001,72.15800000000002,16.41,224.8,43.07,31.5,1.1,497:497
8.0,225.0,68.0,117.0,23.3,18.0,51.50901,-0.08225899,3.54,32.0,0.0007567731,65.524,71.63700000000001,16.8,224.9,43.47,31.5,1.1,501:497
9.0,221.0,67.0,118.0,27.6,18.0,51.50901,-0.082320936,3.82,31.0,0.00090812775,65.56400000000001,69.61600000000001,17.2,225.1,43.88,31.5,1.1,493:500
10.0,222.0,67.0,119.0,32.2,18.2,51.509014,-0.08238598,4.08,32.0,0.0010594823,65.865,68.176,17.52,225.2,44.21,31.5,1.1,497:490
