time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,225.0,72.0,113.0,920.51,9.159,20.0,30.0,37.07,0.015821312,57.64000000000001,61.39181818181819,28.17,226.5,56.87,31.65,0.0,533:538
1.0,225.0,72.0,112.0,929.12,9.161,20.0,30.0,37.07,0.015976423,57.78555555555556,61.57777777777778,28.02,229.8,57.09,31.65,0.0,540:533
2.0,226.0,73.0,113.0,938.77,9.162,20.0,30.0,37.07,0.016131533,57.903000000000006,61.07000000000001,27.79,234.5,57.32,31.65,0.0,529
3.0,227.0,73.0,113.0,949.09,9.162,20.0,30.0,37.07,0.016286645,58.13363636363636,61.345454545454544,27.49,235.3,57.2,31.65,0.0,532:537
4.0,226.0,73.0,112.0,958.42,9.162,20.0,30.0,37.07,0.016441755,58.43,61.89555555555556,27.21,235.8,57.05,31.65,0.0,536:533
5.0,226.0,72.0,112.0,967.0,9.161,20.0,30.0,37.07,0.016596867,58.852999999999994,61.017999999999994,27.03,234.9,56.66,31.65,0.0,529:527
6.0,225.0,72.0,111.0,976.99,9.162,20.0,30.0,37.07,0.016751979,59.143636363636354,60.896363636363645,26.85,233.9,56.26,31.65,0.0,529:531
7.0,226.0,72.0,112.0,986.32,9.162,20.0,30.0,37.07,0.016907088,59.543333333333344,61.096666666666664,26.65,235.1,56.28,31.65,0.0,527:524
8.0,226.0,73.0,112.0,996.3,9.162,20.0,30.0,37.07,0.0170622,59.886,61.572,26.42,238.4,56.72,31.65,0.0,526:526
9.0,226.0,73.0,112.0,1005.13,9.162,20.0,30.0,37.07,0.01721731,60.02299999999999,61.311,26.2,240.9,57.0,31.65,0.0,523:519
10.0,226.0,73.0,113.0,1012.55,9.159,20.0,30.0,37.07,0.017372422,60.059000000000005,60.658,26.0,240.4,56.7,31.65,0.0,517
11.0,227.0,73.0,113.0,1020.13,9.16,20.0,30.0,37.07,0.017527532,60.26299999999999,59.952,25.79,240.0,56.39,31.65,0.0,517:523
12.0,227.0,74.0,113.0,1029.57,9.162,20.0,29.0,37.07,0.017682644,60.444545454545455,60.470909090909096,25.58,239.7,56.12,31.65,0.0,528:532
13.0,226.0,75.0,114.0,1039.63,9.162,20.0,29.0,37.07,0.017837754,60.653333333333336,60.204444444444434,25.37,239.8,55.94,31.65,0.0,532
14.0,225.0,75.0,114.0,1048.52,9.161,20.0,29.0,37.07,0.017992865,60.681999999999995,60.264,25.16,239.9,55.75,31.65,0.0,1057:528
15.0,225.0,74.0,115.0,1057.35,9.162,20.0,29.0,37.07,0.018147975,60.66363636363636,60.122727272727275,24.96,238.8,55.77,31.65,0.0,529:527
16.0,226.0,73.0,115.0,1067.12,9.162,20.0,30.0,37.07,0.018303087,60.6888888888889,60.4388888888889,24.77,236.5,55.98,31.65,0.0,526:521
17.0,226.0,73.0,113.0,1077.85,9.162,20.0,30.0,37.07,0.018458197,60.71300000000001,61.903000000000006,24.65,235.5,56.02,31.65,0.0,521:521
18.0,226.0,74.0,113.0,1087.19,9.162,20.0,29.0,37.07,0.018613309,60.62363636363637,61.444545454545455,24.56,235.5,55.95,31.65,0.0,524:523
19.0,226.0,74.0,113.0,1095.77,9.161,20.0,29.0,37.07,0.018768419,60.42222222222223,59.60444444444444,24.48,235.6,55.88,31.65,0.0,1044
20.0,226.0,74.0,113.0,1105.12,9.162,20.0,29.0,37.07,0.01892353,59.982000000000006,59.793000000000006,24.4,235.6,55.81,31.6,0.0,517:521
21.0,226.0,74.0,114.0,1114.23,9.162,20.0,29.0,37.07,0.019078642,59.74181818181819,61.19181818181817,24.3,236.4,55.97,31.65,0.0,527:531
22.0,226.0,74.0,115.0,1123.34,9.161,20.0,29.0,37.07,0.019233752,59.62555555555556,60.367777777777775,24.17,238.5,56.48,31.6,0.0,531
23.0,225.0,74.0,115.0,1133.02,9.162,20.0,29.0,37.07,0.019388864,59.56199999999999,59.93900000000001,24.04,240.6,56.99,31.65,0.0,529:528
24.0,225.0,74.0,115.0,1141.31,9.16,20.0,29.0,37.07,0.019543974,59.58454545454545,59.40636363636363,23.84,241.2,57.17,31.65,0.0,535:541
25.0,225.0,73.0,115.0,1149.41,9.16,20.0,29.0,37.07,0.019699086,59.61555555555555,59.041111111111114,23.59,240.5,57.03,31.65,0.0,541:541
26.0,226.0,72.0,114.0,1159.41,9.162,20.0,30.0,37.07,0.019854195,59.30799999999999,58.19100000000001,23.34,239.9,56.9,31.65,0.0,546:541
27.0,226.0,73.0,113.0,1168.73,9.162,20.0,30.0,37.07,0.020009307,58.80499999999999,58.811,23.13,240.5,56.89,31.65,0.0,537:538
28.0,226.0,73.0,113.0,1176.8,9.161,20.0,30.0,37.07,0.020164417,58.553999999999995,59.014,22.93,241.6,56.92,31.65,0.0,541
29.0,226.0,73.0,112.0,1186.85,9.162,20.0,30.0,37.07,0.020319529,58.511,59.70400000000001,22.73,242.7,56.94,31.65,0.0,542:540
30.0,225.0,72.0,111.0,1196.59,9.162,20.0,30.0,37.07,0.020474639,58.58090909090909,59.94909090909091,22.5,244.0,57.01,31.65,0.0,537:535
31.0,225.0,71.0,111.0,1205.95,9.162,20.0,30.0,37.07,0.02062975,58.669999999999995,60.32444444444444,22.15,245.9,57.19,31.65,0.0,540:541
32.0,226.0,71.0,111.0,1215.61,9.162,20.0,30.0,37.07,0.02078486,58.694,60.757000000000005,21.8,247.9,57.37,31.65,0.0,537:533
33.0,227.0,72.0,111.0,1223.13,9.159,20.0,30.0,37.07,0.020939972,58.802727272727275,61.93727272727272,21.35,249.1,56.91,31.65,0.0,531:535
34.0,228.0,74.0,111.0,1233.77,9.158,20.0,29.0,37.07,0.021095082,59.02444444444445,62.06555555555556,21.01,250.9,56.55,31.65,0.0,544:546
35.0,228.0,75.0,111.0,1243.85,9.16,20.0,29.0,37.07,0.021250194,59.215,61.169999999999995,20.92,254.0,56.61,31.65,0.0,546:545
36.0,227.0,76.0,111.0,1251.92,9.161,20.0,29.0,37.07,0.021405306,59.26636363636363,59.85272727272727,20.83,257.1,56.67,31.65,0.0,542
37.0,226.0,76.0,111.0,1260.15,9.161,20.0,28.0,37.07,0.021560416,59.126666666666665,60.97999999999999,20.77,260.4,56.83,31.65,0.0,541:541
38.0,225.0,76.0,112.0,1270.58,9.162,20.0,28.0,37.07,0.021715527,59.151,61.081999999999994,20.75,264.0,57.11,31.65,0.0,542:541
39.0,226.0,75.0,111.0,1280.33,9.162,20.0,29.0,37.07,0.021870637,59.17,60.358181818181826,20.72,267.7,57.39,31.65,0.0,537:535
40.0,226.0,75.0,110.0,1288.91,9.161,20.0,29.0,37.07,0.02202575,59.22222222222222,60.35555555555556,20.72,268.9,57.19,31.6,0.0,535
41.0,227.0,75.0,110.0,1296.99,9.161,20.0,29.0,37.07,0.022180859,59.533,60.072,20.73,270.1,56.96,31.6,0.0,529:526:527
42.0,226.0,76.0,111.0,1306.41,9.162,20.0,28.0,37.07,0.02233597,59.83909090909091,60.04272727272728,20.73,271.3,56.74,31.6,0.0,531
43.0,225.0,76.0,111.0,1316.45,9.162,20.0,28.0,37.07,0.02249108,60.06444444444445,60.48222222222223,20.73,272.5,56.52,31.6,0.0,537:540
44.0,225.0,76.0,111.0,1325.35,9.161,20.0,28.0,37.07,0.022646192,60.30800000000001,60.459,20.83,273.5,56.24,31.65,0.0,537:532
45.0,226.0,75.0,112.0,1335.35,9.162,20.0,29.0,37.08,0.022801302,60.458181818181814,60.371818181818185,20.93,274.3,55.95,31.6,0.0,1072
46.0,226.0,74.0,113.0,1344.71,9.162,20.0,29.0,37.08,0.022956414,60.47,60.93111111111111,21.04,275.2,55.67,31.6,0.0,544:547
47.0,225.0,74.0,113.0,1351.9,9.159,20.0,29.0,37.08,0.023111524,60.43399999999999,60.468,21.16,276.0,55.71,31.6,0.0,541:540
48.0,226.0,74.0,112.0,1359.73,9.16,20.0,29.0,37.08,0.023266636,60.26545454545454,58.40272727272727,21.29,276.8,55.93,31.6,0.0,536
49.0,226.0,74.0,112.0,1369.72,9.162,20.0,29.0,37.08,0.023421746,59.93333333333333,60.20666666666667,21.42,277.5,56.15,31.6,0.0,558:1070
50.0,227.0,75.0,112.0,1379.05,9.162,20.0,29.0,37.08,0.023576858,59.747,59.977999999999994,21.56,278.3,56.37,31.6,0.0,537
51.0,227.0,75.0,111.0,1387.63,9.161,20.0,29.0,37.08,0.023731967,59.92272727272728,59.72818181818182,21.69,278.9,56.57,31.6,0.0,542:541
