time,watts,cadence,heartrate,distance,velocity_smooth,torque,PercentageinZ2,VerticalOscillation,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,hrv
0.0,229.0,85.0,93.0,1.76,1.754,26.0,0.0,73.0,61.59999999999999,72.31599999999999,13.61,249.6,57.47,728:736
1.0,319.0,85.0,94.0,4.18,2.426,36.0,0.0,81.0,61.448,72.30499999999999,14.04,250.1,57.61,755
2.0,395.0,85.0,95.0,7.31,3.126,44.0,0.0,82.0,61.25272727272727,72.41363636363636,14.48,250.7,57.75,801
3.0,422.0,85.0,95.0,10.76,3.452,47.0,0.0,82.0,61.08444444444444,72.42333333333333,15.1,251.6,57.95,777
4.0,445.0,85.0,95.0,14.39,3.555,50.0,0.0,80.5,60.984,72.919,15.84,252.6,58.19,773:765
5.0,468.0,85.0,95.0,18.01,3.658,53.0,0.0,79.0,60.85454545454545,72.92909090909092,16.37,253.3,58.36,712
6.0,471.0,85.0,97.0,21.69,3.677,53.0,0.0,80.0,60.58777777777779,70.11,16.69,253.7,58.47,689:660
7.0,473.0,85.0,98.0,25.37,3.695,53.0,0.0,81.0,60.79699999999999,65.24600000000001,17.01,254.2,58.57,643
8.0,465.0,85.0,101.0,29.07,3.695,52.0,0.0,81.0,61.4,63.721,17.33,254.6,58.68,629:638
9.0,442.0,85.0,104.0,32.79,3.723,50.0,0.0,80.0,62.104,60.782,17.65,255.0,58.78,620:629
10.0,439.0,85.0,104.0,36.52,3.723,49.0,0.0,79.0,63.15500000000001,59.788,18.04,255.6,58.91,541:598:736
11.0,436.0,85.0,103.0,40.22,3.704,49.0,0.0,79.0,64.397,59.723,18.49,256.2,59.05,509
12.0,441.0,85.0,104.0,43.91,3.695,50.0,0.0,81.0,65.68,57.657,18.93,256.8,59.2,630:603
13.0,446.0,85.0,105.0,47.61,3.695,50.0,0.0,82.0,66.764,58.657,19.38,257.4,59.34,589:572
14.0,439.0,85.0,105.0,51.25,3.639,49.0,0.0,82.0,67.60999999999999,56.962,20.5,258.9,59.7,583
15.0,442.0,85.0,105.0,54.88,3.63,50.0,0.0,83.0,68.27099999999999,58.43900000000001,21.19,259.8,59.93,574:575
16.0,441.0,85.0,106.0,58.49,3.62,50.0,0.0,83.0,68.881,56.53800000000001,21.57,260.4,60.05,582
17.0,442.0,85.0,107.0,62.12,3.62,50.0,0.0,82.0,69.574,56.845000000000006,21.95,260.9,60.18,582:573:578
18.0,444.0,85.0,108.0,65.75,3.63,50.0,0.0,81.0,70.30600000000001,56.463,22.34,261.4,60.3,572
19.0,441.0,85.0,108.0,69.39,3.639,50.0,0.0,80.0,70.971,55.431,23.07,262.4,60.54,572:574
20.0,436.0,85.0,108.0,73.01,3.62,49.0,0.0,80.0,71.5,55.84799999999999,24.17,263.9,60.9,555
21.0,437.0,85.0,109.0,76.61,3.602,49.0,0.0,80.0,71.83399999999999,53.791999999999994,24.59,264.7,61.09,570:547
22.0,435.0,85.0,108.0,80.21,3.602,49.0,0.0,81.0,71.912,54.987,25.01,265.5,61.27,555:556
23.0,441.0,85.0,109.0,83.83,3.62,50.0,0.0,81.0,71.75700000000002,52.734,25.45,266.4,61.49,551:554
24.0,441.0,85.0,110.0,87.45,3.62,50.0,0.0,83.0,71.52199999999999,53.949,25.92,267.5,61.76,545:541
25.0,448.0,85.0,110.0,91.05,3.602,50.0,0.0,82.0,71.209,52.622,26.38,268.8,62.08,479:588
26.0,442.0,85.0,110.0,94.63,3.583,50.0,0.0,82.0,70.803,53.44599999999999,26.83,270.4,62.46,463:601
27.0,436.0,85.0,111.0,98.19,3.555,49.0,0.0,81.0,70.29899999999999,52.847,27.18,271.9,62.81,527:532
28.0,434.0,85.0,111.0,101.73,3.546,49.0,0.0,80.0,69.733,52.998000000000005,27.47,273.2,63.13,532:522
29.0,430.0,85.0,113.0,105.28,3.546,48.0,0.0,79.0,69.158,53.36199999999999,27.73,274.6,63.45,529:527
30.0,432.0,85.0,113.0,108.82,3.546,49.0,0.0,80.0,68.545,52.883,28.09,276.0,63.79,1042
31.0,432.0,85.0,114.0,112.38,3.555,49.0,0.0,80.0,67.904,53.701,28.36,277.3,64.1,518:508
32.0,430.0,85.0,113.0,115.93,3.546,48.0,0.0,79.0,67.203,52.117,28.55,278.5,64.38,503:509
33.0,429.0,85.0,113.0,119.48,3.555,48.0,0.0,79.0,66.42399999999999,53.661,28.7,278.1,64.57,504:513
34.0,443.0,85.0,113.0,123.07,3.583,50.0,0.0,83.0,65.635,52.767,28.84,277.0,64.71,497:500
35.0,468.0,85.0,114.0,126.65,3.583,53.0,0.0,90.7,64.90299999999999,53.795,28.97,275.9,64.85,490:501
36.0,468.0,85.0,113.0,130.24,3.592,53.0,0.0,89.7,64.18700000000001,53.154999999999994,29.06,276.9,65.72,486:495:492
37.0,457.0,85.0,114.0,133.82,3.583,51.0,0.0,88.7,63.556999999999995,53.264,29.08,280.7,67.55,488:488
38.0,452.0,85.0,115.0,137.42,3.592,51.0,0.0,85.7,62.98100000000001,53.885000000000005,29.0,285.1,68.99,486:490
39.0,449.0,85.0,115.0,141.02,3.602,50.0,0.0,84.7,62.347000000000016,53.488,28.83,290.0,70.0,469:488
40.0,448.0,85.0,115.0,144.63,3.611,50.0,0.0,83.7,61.652,54.33299999999999,28.61,292.5,70.73,474:486
41.0,444.0,85.0,116.0,148.23,3.602,50.0,0.0,82.0,60.76545454545454,53.50636363636364,28.3,291.1,70.99,954:499
42.0,440.0,85.0,117.0,151.82,3.592,49.0,0.0,82.0,59.908888888888896,54.407777777777774,27.99,290.0,71.29,479:483:481
43.0,444.0,85.0,118.0,155.44,3.62,50.0,0.0,82.0,59.161,53.501,27.66,290.4,71.86,479:481
44.0,445.0,85.0,118.0,159.06,3.62,50.0,0.0,82.0,58.40909090909091,54.938181818181825,27.33,290.8,72.44,476:488
