time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,hrv
0.0,208.0,15.0,82.0,0.3,53.8,-10.809963,165.80357,0.0,132.0,0.0,63.866,59.60600000000001,11.37,142.5,32.76,657
1.0,208.0,25.0,82.0,0.9,53.8,-10.809967,165.80357,0.6,79.0,0.0,63.38900000000001,57.427,11.85,143.2,33.01,656:657
2.0,226.0,41.0,85.0,3.1,53.8,-10.809985,165.80359,1.4,53.0,0.00018138945,62.762,59.355,12.33,144.0,33.25,656:649
3.0,226.0,74.0,87.0,6.1,53.8,-10.810009,165.80359,1.933,29.0,0.0003627789,62.25,61.104,12.81,144.7,33.49,648
4.0,225.0,75.0,89.0,9.8,53.8,-10.810033,165.80362,2.375,29.0,0.00054416835,62.36200000000001,60.968,13.57,145.9,33.87,646:643
5.0,227.0,75.0,89.0,14.1,53.8,-10.810058,165.80365,2.76,29.0,0.0007255578,62.926,61.638,14.39,147.1,34.29,646
6.0,224.0,76.0,90.0,18.8,53.8,-10.810086,165.80368,3.58,28.0,0.00090694724,63.84000000000001,61.983,15.0,148.1,34.6,649:648
7.0,223.0,76.0,91.0,23.9,53.8,-10.810118,165.80371,4.16,28.0,0.0010883367,64.95200000000001,62.30799999999999,15.56,148.9,34.88,644
8.0,225.0,75.0,91.0,29.3,53.8,-10.810152,165.80376,4.64,29.0,0.0012697261,65.95400000000001,62.801,16.11,149.8,35.16,639:642
9.0,225.0,74.0,91.0,35.2,53.8,-10.810188,165.80379,5.08,29.0,0.0014511156,66.65299999999999,63.038,16.69,150.7,35.45,646
10.0,224.0,74.0,91.0,41.3,53.6,-10.810227,165.80383,5.44,29.0,0.001632505,67.284,62.836,17.28,151.6,35.75,639:635
11.0,223.0,73.0,92.0,47.7,53.6,-10.810268,165.80386,5.78,29.0,0.0018138945,67.987,63.367,17.88,152.5,36.05,638
12.0,225.0,72.0,92.0,54.3,53.6,-10.81031,165.80391,6.08,30.0,0.0019952839,68.741,63.09100000000001,18.64,153.7,36.44,637:629
13.0,226.0,71.0,93.0,61.2,53.6,-10.810354,165.80396,6.38,30.0,0.0021766734,69.439,61.451,19.41,154.9,36.83,625
14.0,226.0,70.0,93.0,68.3,53.6,-10.8104,165.804,6.62,31.0,0.0023580627,70.097,60.838,20.11,156.0,37.18,620
15.0,225.0,72.0,93.0,75.7,53.6,-10.810447,165.80405,6.88,30.0,0.0025394522,70.593,60.402,20.77,157.0,37.51,1230:607
16.0,227.0,72.0,93.0,83.2,53.4,-10.810495,165.8041,7.1,30.0,0.0027208417,70.959,60.475,21.41,158.0,37.84,605
17.0,227.0,72.0,94.0,90.9,53.4,-10.810545,165.80415,7.32,30.0,0.0029022312,71.24099999999999,59.65500000000001,21.98,158.9,38.13,615:559
18.0,225.0,73.0,94.0,98.8,53.4,-10.810595,165.8042,7.52,29.0,0.0030836205,71.291,58.837,22.55,159.7,38.41,606:587
19.0,226.0,73.0,94.0,106.8,53.4,-10.810647,165.80424,7.7,30.0,0.00326501,71.453,58.80799999999999,23.14,160.7,38.73,587:578
20.0,225.0,74.0,95.0,115.0,53.4,-10.810699,165.8043,7.86,29.0,0.0034463995,71.623,58.45899999999999,23.78,161.8,39.1,587:583
21.0,226.0,74.0,95.0,123.3,53.4,-10.810753,165.80435,8.02,29.0,0.003627789,71.77099999999999,57.141,24.42,163.0,39.47,578
22.0,224.0,74.0,96.0,131.8,53.2,-10.810808,165.80441,8.18,29.0,0.0038091782,71.55999999999999,56.998000000000005,25.09,164.5,39.98,577:577
23.0,225.0,73.0,98.0,140.4,53.2,-10.810863,165.80446,8.32,29.0,0.0039905678,71.30600000000001,57.306,25.79,166.1,40.5,574:574
24.0,228.0,73.0,98.0,149.1,53.2,-10.810923,165.80452,8.46,30.0,0.0041719573,71.438,56.92600000000001,26.55,167.8,41.06,570
25.0,226.0,72.0,99.0,157.9,53.2,-10.81099,165.80457,8.58,30.0,0.004353347,71.515,57.159000000000006,26.86,168.6,41.31,569:566
26.0,227.0,74.0,102.0,166.8,53.0,-10.811061,165.8046,8.7,29.0,0.0045347363,71.476,56.839,27.08,169.1,41.49,565:564
27.0,224.0,75.0,102.0,175.8,53.0,-10.811134,165.80464,8.8,29.0,0.0047161253,71.43363636363635,58.047272727272734,27.3,169.7,41.67,561:560
28.0,225.0,75.0,102.0,185.1,52.8,-10.81121,165.80467,8.94,29.0,0.004897515,71.05333333333334,57.39111111111111,27.51,170.2,41.85,563
29.0,225.0,75.0,104.0,194.5,52.6,-10.811288,165.8047,9.08,29.0,0.0050789043,70.432,56.253,27.75,170.9,42.07,559:558
30.0,226.0,75.0,104.0,204.1,52.6,-10.811368,165.80473,9.24,29.0,0.005260294,69.81909090909092,56.528181818181814,28.09,172.4,42.56,556:555
31.0,227.0,75.0,104.0,213.8,52.4,-10.811451,165.80476,9.4,29.0,0.0054416833,69.63222222222221,56.446666666666665,28.32,173.8,43.01,555:556
32.0,225.0,75.0,105.0,223.7,52.2,-10.811534,165.80481,9.58,29.0,0.005623073,69.65,55.504999999999995,28.37,175.0,43.4,554:555
33.0,225.0,75.0,106.0,233.7,52.2,-10.811619,165.80484,9.72,29.0,0.0058044624,69.20545454545456,55.40090909090909,28.42,176.3,43.83,555:552
34.0,224.0,74.0,106.0,243.9,52.0,-10.811704,165.80487,9.88,29.0,0.0059858514,68.65777777777777,55.57666666666667,28.43,177.9,44.38,550:550
35.0,225.0,73.0,106.0,254.2,51.8,-10.81179,165.8049,10.02,29.0,0.006167241,68.54299999999999,54.992999999999995,28.39,180.1,45.33,550
36.0,225.0,73.0,107.0,264.6,51.6,-10.811874,165.80495,10.16,29.0,0.0063486304,68.68727272727273,54.36909090909091,28.31,182.2,46.25,558:560
37.0,227.0,73.0,107.0,275.1,51.4,-10.811957,165.805,10.28,30.0,0.00653002,68.55111111111111,53.838888888888896,28.22,183.3,46.47,555:552
38.0,225.0,73.0,108.0,285.8,51.2,-10.8120365,165.80505,10.42,29.0,0.0067114094,68.006,55.109,28.13,184.4,46.7,561:556
39.0,224.0,73.0,108.0,296.6,51.0,-10.812113,165.80511,10.54,29.0,0.006892799,67.49727272727272,54.73,28.04,185.7,47.03,540
40.0,226.0,72.0,108.0,307.5,50.8,-10.812184,165.80518,10.66,30.0,0.0070741884,67.07666666666667,55.114444444444445,27.92,187.6,47.67,560:552
41.0,228.0,74.0,108.0,318.6,50.6,-10.812244,165.80527,10.8,29.0,0.007255578,66.727,55.125,27.76,189.4,48.3,1103
42.0,225.0,75.0,109.0,329.7,50.4,-10.81229,165.80536,10.92,29.0,0.007436967,66.32818181818182,55.645454545454555,27.45,190.9,48.92,550:550
43.0,224.0,76.0,108.0,340.9,50.2,-10.812325,165.80545,11.02,28.0,0.0076183565,65.90777777777778,54.824444444444445,27.21,192.7,49.36,546:547
44.0,224.0,75.0,108.0,352.1,50.2,-10.812352,165.80554,11.1,29.0,0.007799746,65.387,55.013,27.02,195.0,49.69,549
45.0,225.0,74.0,108.0,363.4,50.0,-10.812373,165.80565,11.18,29.0,0.0079811355,64.63454545454546,54.83363636363636,26.82,197.2,50.01,546:546
46.0,227.0,74.0,108.0,374.7,50.0,-10.812392,165.80576,11.22,29.0,0.008162525,64.08444444444443,55.42777777777778,26.62,199.4,50.34,1088
47.0,228.0,76.0,108.0,386.0,49.8,-10.81241,165.80585,11.26,29.0,0.0083439145,63.678999999999995,54.855,26.38,201.5,50.65,540:537
48.0,225.0,77.0,108.0,397.4,49.6,-10.81243,165.80595,11.3,28.0,0.008525304,63.344545454545454,55.05363636363636,26.1,203.5,50.95,538:541
49.0,227.0,77.0,109.0,408.8,49.4,-10.812456,165.80606,11.34,28.0,0.008706694,63.10555555555556,55.20333333333333,25.93,205.1,51.4,541:540
50.0,226.0,76.0,109.0,420.3,49.2,-10.812491,165.80615,11.38,28.0,0.008888083,62.715999999999994,56.346999999999994,25.8,206.6,51.9,546:540
51.0,223.0,77.0,109.0,431.9,48.8,-10.812539,165.80624,11.44,28.0,0.009069473,61.55454545454545,55.8890909090909,25.67,208.0,52.41,537:537
52.0,225.0,75.0,110.0,443.6,48.6,-10.812603,165.80634,11.52,29.0,0.009250862,60.22555555555555,55.65555555555555,25.55,209.2,52.87,541
53.0,228.0,75.0,110.0,455.6,48.0,-10.812685,165.8064,11.64,29.0,0.009432251,59.864999999999995,55.592000000000006,25.46,209.7,53.16,540:538
54.0,226.0,76.0,110.0,467.8,47.6,-10.81278,165.80646,11.8,28.0,0.009613641,59.78272727272727,55.30454545454545,25.37,210.2,53.46,537:537
55.0,224.0,76.0,111.0,480.3,47.0,-10.812885,165.8065,12.0,28.0,0.00979503,59.56222222222222,55.784444444444446,25.25,211.4,54.12,541
56.0,224.0,75.0,111.0,493.2,46.2,-10.812997,165.80653,12.26,29.0,0.00997642,59.376,56.154999999999994,25.11,213.1,54.97,538:537:540
57.0,225.0,75.0,111.0,506.4,45.4,-10.813115,165.80655,12.56,29.0,0.010157809,59.226,55.227999999999994,25.09,214.3,55.13,537:537
58.0,225.0,75.0,111.0,520.0,44.6,-10.813238,165.80656,12.88,29.0,0.010339199,58.876,54.302,25.07,215.4,55.28,537
59.0,226.0,75.0,111.0,534.0,43.6,-10.813364,165.80655,13.24,29.0,0.010520588,58.28499999999999,55.411,25.05,216.6,55.43,540:538
60.0,224.0,75.0,111.0,548.29,42.8,-10.813492,165.80655,13.6,29.0,0.010701977,57.83181818181818,55.64909090909091,25.01,217.8,55.48,536:537
61.0,225.0,74.0,111.0,562.79,42.2,-10.8136215,165.80652,13.92,29.0,0.010883367,57.791111111111114,55.51777777777777,24.96,218.9,55.45,533
62.0,227.0,74.0,111.0,577.5,41.4,-10.813752,165.80649,14.22,29.0,0.011064756,57.782,56.434000000000005,24.91,220.0,55.42,528:531:533
63.0,226.0,74.0,111.0,592.4,41.0,-10.813881,165.80646,14.48,29.0,0.011246146,57.60909090909092,56.951818181818176,24.84,220.0,54.99,538:545
64.0,226.0,75.0,111.0,607.2,40.6,-10.814009,165.80641,14.64,29.0,0.011427535,57.41,56.690000000000005,24.67,216.0,53.19,541
65.0,224.0,75.0,111.0,621.9,40.4,-10.814134,165.80637,14.72,29.0,0.011608925,57.07899999999999,57.16600000000001,24.5,211.9,51.5,540:538:535
66.0,226.0,75.0,111.0,636.4,40.2,-10.81425,165.8063,14.72,29.0,0.011790314,56.79272727272728,56.91636363636364,24.25,206.4,50.72,533
67.0,225.0,74.0,111.0,650.7,39.8,-10.81435,165.80623,14.64,29.0,0.011971703,56.574444444444445,57.55444444444444,24.11,204.7,50.57,536:535
68.0,227.0,74.0,112.0,665.2,39.2,-10.814438,165.80612,14.56,29.0,0.012153093,56.414,58.23,24.04,205.8,50.86,532:533
69.0,226.0,75.0,113.0,679.7,38.6,-10.814519,165.80603,14.5,29.0,0.012334482,56.22727272727272,57.58818181818182,23.99,207.4,51.39,536:532
70.0,227.0,76.0,113.0,694.4,37.8,-10.814597,165.80591,14.5,29.0,0.012515872,56.15444444444445,57.71111111111111,23.99,210.5,52.52,532:532
