time,watts,cadence,heartrate,distance,velocity_smooth,torque,PercentageinZ2,VerticalOscillation,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation
0.0,212.0,86.0,80.0,0.0,2.613,24.0,0.0,68.2,51.4390909090909,79.16818181818184,23.02,243.7,50.42
1.0,336.0,86.0,80.0,3.08,3.079,37.0,0.00040617384,76.0,51.61333333333333,79.25333333333333,23.04,243.7,50.58
2.0,394.0,86.0,80.0,6.38,3.303,44.0,0.00040617384,76.0,51.795,79.31099999999999,23.06,243.7,50.74
3.0,425.0,86.0,80.0,9.78,3.396,47.0,0.00040617384,78.0,51.91090909090909,79.26363636363637,23.08,243.7,50.9
4.0,454.0,86.0,81.0,13.21,3.424,50.0,0.00040617384,80.0,51.96111111111111,79.54222222222224,23.1,243.7,51.06
5.0,461.0,86.0,81.0,16.72,3.518,51.0,0.00040617384,81.0,52.06700000000001,79.703,23.12,243.7,51.22
6.0,468.0,86.0,82.0,20.26,3.536,52.0,0.00040617384,82.0,52.21454545454546,76.14090909090909,23.14,243.7,51.38
7.0,452.0,86.0,84.0,23.8,3.536,50.0,0.00040617384,83.0,52.57777777777778,73.69222222222223,23.17,243.7,51.54
8.0,448.0,86.0,85.0,27.36,3.564,50.0,0.00040617384,83.0,53.049,69.93299999999999,23.19,243.7,51.7
9.0,446.0,86.0,88.0,30.91,3.546,50.0,0.00040617384,82.0,53.66272727272727,67.87636363636364,23.21,243.7,51.86
10.0,434.0,86.0,88.0,34.41,3.508,48.0,0.00040617384,81.0,54.34111111111112,67.13555555555554,23.26,243.7,52.21
11.0,430.0,86.0,89.0,37.89,3.471,48.0,0.00040617384,80.0,54.956,64.12199999999999,23.34,243.7,52.86
12.0,423.0,86.0,90.0,41.37,3.48,47.0,0.00040617384,80.0,55.71636363636364,65.11727272727272,23.43,243.7,53.5
13.0,425.0,86.0,91.0,44.86,3.49,47.0,0.00040617384,79.0,56.535555555555554,62.49222222222222,23.53,243.7,54.22
14.0,426.0,86.0,91.0,48.38,3.527,47.0,0.00040617384,82.0,57.394000000000005,63.309000000000005,23.62,243.7,54.93
15.0,436.0,86.0,92.0,51.94,3.555,48.0,0.00040617384,83.0,58.468181818181804,62.03727272727272,23.72,243.7,55.67
16.0,447.0,86.0,92.0,55.52,3.583,50.0,0.00040617384,83.7,59.57777777777777,62.559999999999995,23.83,243.7,56.42
17.0,453.0,86.0,92.0,59.14,3.62,50.0,0.00040617384,86.7,60.70899999999999,62.553,23.89,243.7,56.92
18.0,467.0,86.0,93.0,62.78,3.639,52.0,0.00040617384,86.7,62.058181818181815,60.941818181818185,23.95,243.7,57.35
19.0,465.0,86.0,94.0,66.43,3.648,52.0,0.00040617384,84.7,63.42555555555555,61.95333333333334,24.01,243.7,57.77
20.0,455.0,86.0,95.0,70.08,3.648,51.0,0.00040617384,83.7,64.85199999999999,59.596,24.08,243.7,58.3
