time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,211.0,14.0,82.0,0.3,284.6,47.26995,11.395258,0.0,144.0,0.0,21.9,146.9,43.12,31.35,0.0,620
1.0,211.0,24.0,82.0,0.8,284.6,47.269947,11.395259,0.5,84.0,0.0,22.02,147.8,43.28,31.35,0.0,619:617
2.0,226.0,40.0,84.0,3.0,284.6,47.269928,11.395265,1.35,54.0,0.00018484288,22.13,148.6,43.45,31.35,0.0,620
3.0,224.0,72.0,88.0,6.0,284.6,47.2699,11.395269,1.9,30.0,0.00036968576,22.24,149.5,43.61,31.4,0.0,626:625
4.0,223.0,72.0,90.0,9.6,284.4,47.269867,11.3952675,2.325,30.0,0.00055452867,22.36,150.3,43.77,31.4,0.0,620
5.0,228.0,71.0,91.0,13.8,284.4,47.269833,11.395263,2.7,31.0,0.0007393715,22.47,151.2,43.93,31.4,0.0,626:630
6.0,227.0,72.0,92.0,18.5,284.4,47.26979,11.395256,3.54,30.0,0.00092421443,22.75,153.3,44.33,31.35,0.0,626:625
7.0,222.0,72.0,94.0,23.5,284.4,47.269745,11.395248,4.1,29.0,0.00092421443,23.09,155.8,44.81,31.35,0.0,628
8.0,226.0,72.0,95.0,29.0,284.4,47.269695,11.39524,4.6,30.0,0.0011090573,23.4,158.2,45.27,31.4,0.0,624:617
9.0,225.0,71.0,96.0,34.79,284.4,47.269646,11.395232,5.04,30.0,0.0012939002,23.71,160.6,45.71,31.4,0.0,615:609
10.0,224.0,71.0,97.0,40.9,284.4,47.26959,11.395225,5.42,30.0,0.001478743,23.95,162.3,46.04,31.35,0.0,602
11.0,227.0,71.0,97.0,47.3,284.2,47.26953,11.395217,5.76,31.0,0.001663586,24.18,164.1,46.38,31.4,0.0,601:597
12.0,223.0,70.0,97.0,54.0,284.2,47.26947,11.39521,6.1,30.0,0.0018484289,24.42,165.9,46.73,31.35,0.0,595:592
13.0,225.0,70.0,97.0,61.0,284.2,47.26941,11.395202,6.4,31.0,0.0020332718,24.68,167.9,47.1,31.4,0.0,589:587
14.0,226.0,69.0,96.0,68.2,284.2,47.269344,11.395194,6.68,31.0,0.0022181147,24.94,169.8,47.46,31.4,0.0,586
15.0,226.0,69.0,96.0,75.59,284.0,47.26928,11.3951845,6.94,31.0,0.0024029575,25.18,171.6,47.8,31.35,0.0,580:580
16.0,226.0,70.0,96.0,83.3,284.0,47.26921,11.395176,7.2,31.0,0.0025878004,25.41,173.4,48.14,31.35,0.0,578:573
